pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m
1786932870.536,725,0,0,0,0,1,change,0,57.23,-0.0,9999.0,10.0,0,ttc_capped,0.0406,table,1,37.496696,126.958366,0.134,0.0,1,37.4967,126.957718,0.017,0.0,-57.23,0.45
1786932871.568,735,0,0,0,0,1,heartbeat,0,57.23,-0.0,9999.0,10.0,0,ttc_capped,0.0406,table,1,37.496696,126.958366,0.077,0.0,1,37.4967,126.957718,0.008,0.0,-57.23,0.45
1786932872.62,745,0,0,0,0,1,heartbeat,0,57.23,-0.0,9999.0,10.0,0,ttc_capped,0.0406,table,1,37.496696,126.958366,0.063,0.0,1,37.4967,126.957718,0.023,0.0,-57.23,0.45
1786932873.675,755,0,0,0,0,1,heartbeat,0,57.23,-0.0,9999.0,10.0,0,ttc_capped,0.0007,table,1,37.4967,126.958366,0.206,0.0,1,37.496696,126.957718,0.025,0.0,-57.23,-0.05
1786932874.701,764,0,0,0,0,1,heartbeat,0,57.23,-0.0,9999.0,10.0,0,ttc_capped,0.0011,table,1,37.4967,126.958366,0.103,0.0,1,37.496696,126.957718,0.009,0.0,-57.23,-0.27
1786932875.724,774,0,0,0,0,1,heartbeat,0,57.23,-0.0,9999.0,10.0,0,ttc_capped,0.0009,table,1,37.4967,126.958366,0.059,0.0,1,37.496696,126.957718,0.029,0.0,-57.23,-0.3
1786932876.747,783,0,0,0,0,1,heartbeat,0,56.89,0.2,279.98,2.6,0,ttc_capped,0.0019,table,1,37.4967,126.958359,0.057,0.0,1,37.496693,126.957726,0.083,0.0,-56.89,-0.6
1786932877.757,793,0,0,0,0,1,heartbeat,0,56.32,0.34,167.09,2.6,0,ttc_capped,0.0016,table,1,37.4967,126.958359,0.165,0.0,1,37.496693,126.957726,0.042,0.0,-56.31,-0.7
1786932878.776,803,0,0,0,0,1,heartbeat,0,56.04,0.18,318.56,2.6,0,ttc_capped,0.001,table,1,37.496696,126.958344,0.196,0.0,1,37.496693,126.957726,0.055,0.0,-56.04,-0.69
1786932879.793,813,0,0,0,0,1,heartbeat,0,55.76,0.05,1149.42,2.6,0,ttc_capped,0.0014,table,1,37.496693,126.958328,0.124,0.0,1,37.496689,126.957726,0.066,0.0,-55.75,-0.94
1786932880.83,822,0,0,0,0,1,heartbeat,0,55.45,-0.01,9999.0,10.0,0,ttc_capped,0.0004,table,1,37.496689,126.958313,0.071,0.0,1,37.496689,126.957726,0.072,0.0,-55.44,-1.0
1786932881.842,832,0,0,0,0,1,heartbeat,0,55.06,-0.02,9999.0,10.0,0,ttc_capped,0.0002,table,1,37.496685,126.958313,0.065,0.0,1,37.496685,126.957726,0.085,0.0,-55.05,-1.22
1786932882.853,842,0,0,0,0,1,heartbeat,0,54.66,-0.01,9999.0,10.0,0,ttc_capped,0.0002,table,1,37.496689,126.958305,0.143,0.0,1,37.496681,126.957726,0.04,0.0,-54.64,-1.41
1786932883.875,851,0,0,0,0,1,heartbeat,0,54.34,-0.01,9999.0,10.0,0,ttc_capped,0.0002,table,1,37.496693,126.958305,0.179,0.0,1,37.496677,126.957726,0.015,0.0,-54.31,-1.73
1786932884.884,861,0,0,0,0,1,heartbeat,0,54.09,-0.01,9999.0,10.0,0,ttc_capped,0.0004,table,1,37.496693,126.958313,0.095,0.0,1,37.496677,126.957726,0.044,0.0,-54.05,-2.05
