pc_time,cane_seq,computed_level,effective_level,cane_node_risk,veh_node_risk,trusted,reason,target_id,distance_m,closing_mps,ttc_s,risk_score,rule_level,rule_reason,model_proba,level_source,cane_gps_valid,cane_lat,cane_lng,cane_speed_mps,cane_heading_deg,veh_gps_valid,veh_lat,veh_lng,veh_speed_mps,veh_heading_deg,rel_east_m,rel_north_m,distance_source
1787710440.712,263,0,0,0,0,1,change,0,8.46,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.036,0.0,1,37.496563,126.957619,0.023,0.0,0.0,8.46,gps
1787710440.92,265,0,0,0,0,1,heartbeat,0,8.46,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.04,0.0,1,37.496563,126.957619,0.023,0.0,0.0,8.46,gps
1787710441.128,267,0,0,0,0,1,heartbeat,0,8.24,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.029,0.0,1,37.496559,126.957619,0.027,0.0,0.0,8.24,gps
1787710441.338,269,0,0,0,0,1,heartbeat,0,8.24,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.05,0.0,1,37.496559,126.957619,0.027,0.0,0.0,8.24,gps
1787710441.55,271,0,0,0,0,1,heartbeat,0,8.46,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496483,126.957619,0.036,0.0,1,37.496559,126.957619,0.027,0.0,0.0,8.46,gps
1787710441.762,273,0,0,0,0,1,heartbeat,0,8.46,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496483,126.957619,0.038,0.0,1,37.496559,126.957619,0.027,0.0,0.0,8.46,gps
1787710441.966,275,0,0,0,0,1,heartbeat,0,8.46,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496483,126.957619,0.034,0.0,1,37.496559,126.957619,0.027,0.0,0.0,8.46,gps
1787710442.176,277,0,0,0,0,1,heartbeat,0,8.46,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496483,126.957619,0.029,0.0,1,37.496559,126.957619,0.021,0.0,0.0,8.46,gps
1787710442.376,279,0,0,0,0,1,heartbeat,0,8.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.051,0.0,1,37.496559,126.957619,0.021,0.0,0.0,8.39,gps
1787710442.584,281,0,0,0,0,1,heartbeat,0,8.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.057,0.0,1,37.496559,126.957619,0.021,0.0,0.0,8.39,gps
1787710442.788,283,0,0,0,0,1,heartbeat,0,8.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.064,0.0,1,37.496559,126.957619,0.021,0.0,0.0,8.39,gps
1787710442.996,285,0,0,0,0,1,heartbeat,0,8.39,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496487,126.957619,0.059,0.0,1,37.496559,126.957619,0.021,0.0,0.0,8.39,gps
1787710443.204,287,0,0,0,0,1,heartbeat,0,8.26,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.49649,126.957619,0.042,0.0,1,37.496559,126.957619,0.023,0.0,0.0,8.26,gps
1787710443.418,289,0,0,0,0,1,heartbeat,0,8.19,0.0,9999.0,13.7,0,ttc_capped,,table,1,37.49649,126.957626,0.031,0.0,1,37.496559,126.957619,0.023,0.0,-0.12,8.19,gps
1787710443.624,291,0,0,0,0,1,heartbeat,0,8.07,0.0,9999.0,21.56,0,ttc_capped,,table,1,37.496494,126.957626,0.027,0.0,1,37.496559,126.957619,0.023,0.0,-0.21,8.07,gps
1787710443.836,293,0,0,0,0,1,heartbeat,0,8.07,0.0,9999.0,23.68,0,ttc_capped,,table,1,37.496494,126.957626,0.025,0.0,1,37.496559,126.957619,0.023,0.0,-0.21,8.07,gps
1787710444.044,295,0,0,0,0,1,heartbeat,0,8.07,0.0,9999.0,25.42,0,ttc_capped,,table,1,37.496494,126.957626,0.022,0.0,1,37.496559,126.957619,0.023,0.0,-0.21,8.07,gps
1787710444.26,297,0,0,0,0,1,heartbeat,0,7.92,0.0,9999.0,27.57,0,ttc_capped,,table,1,37.496498,126.957626,0.021,0.0,1,37.496559,126.957619,0.045,0.0,-0.27,7.92,gps
1787710444.472,299,0,0,0,0,1,heartbeat,0,7.92,0.0,9999.0,28.09,0,ttc_capped,,table,1,37.496498,126.957626,0.014,0.0,1,37.496559,126.957619,0.045,0.0,-0.27,7.92,gps
1787710444.68,301,0,0,0,0,1,heartbeat,0,7.92,0.0,9999.0,28.57,0,ttc_capped,,table,1,37.496498,126.957626,0.022,0.0,1,37.496559,126.957619,0.045,0.0,-0.27,7.92,gps
1787710444.88,303,0,0,0,0,1,heartbeat,0,7.92,0.0,9999.0,29.01,0,ttc_capped,,table,1,37.496498,126.957626,0.018,0.0,1,37.496559,126.957619,0.045,0.0,-0.27,7.92,gps
1787710445.09,305,0,0,0,0,1,heartbeat,0,7.75,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496502,126.957626,0.019,0.0,1,37.496559,126.957619,0.045,0.0,-0.31,7.74,gps
1787710445.302,307,0,0,0,0,1,heartbeat,0,7.75,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496502,126.957626,0.027,0.0,1,37.496559,126.957619,0.053,0.0,-0.31,7.75,gps
1787710445.512,309,0,0,0,0,1,heartbeat,0,7.75,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496502,126.957626,0.024,0.0,1,37.496559,126.957619,0.053,0.0,-0.31,7.75,gps
1787710445.72,311,0,0,0,0,1,heartbeat,0,7.75,0.0,9999.0,30.0,0,ttc_capped,,table,1,37.496502,126.957626,0.018,0.0,1,37.496559,126.957619,0.053,0.0,-0.31,7.75,gps
