epoch,local_time,label
1789787691.682,2026-09-19T12:14:51.682,n
1789787722.188,2026-09-19T12:15:22.188,> n A시작
1789788169.620,2026-09-19T12:22:49.619,n A끝
1789788259.666,2026-09-19T12:24:19.666,gs v
1789788265.110,2026-09-19T12:24:25.109,gs v
1789788274.448,2026-09-19T12:24:34.448,ge
1789788284.021,2026-09-19T12:24:44.021,gs v
1789788289.488,2026-09-19T12:24:49.488,ge
1789788299.720,2026-09-19T12:24:59.720,gs v
1789788305.387,2026-09-19T12:25:05.387,ge
1789788312.600,2026-09-19T12:25:12.599,gs v
1789788318.411,2026-09-19T12:25:18.410,ge
1789788337.130,2026-09-19T12:25:37.130,gs v
1789788357.845,2026-09-19T12:25:57.845,ge
1789788367.149,2026-09-19T12:26:07.149,gs v
1789788386.536,2026-09-19T12:26:26.536,ge
1789788401.683,2026-09-19T12:26:41.683,gs v
1789788421.351,2026-09-19T12:27:01.351,ge
1789788436.998,2026-09-19T12:27:16.998,gs v
1789788498.075,2026-09-19T12:28:18.075,ge
1789788516.389,2026-09-19T12:28:36.389,gs v
1789788673.674,2026-09-19T12:31:13.674,rs v
1789788738.435,2026-09-19T12:32:18.434,re
1789788765.070,2026-09-19T12:32:45.069,rs v
1789788826.337,2026-09-19T12:33:46.336,re
1789788842.882,2026-09-19T12:34:02.882,rs v
1789788904.820,2026-09-19T12:35:04.820,re
1789788914.402,2026-09-19T12:35:14.401,rs v
1789788984.063,2026-09-19T12:36:24.062,re
1789789003.314,2026-09-19T12:36:43.313,rs v
1789789063.135,2026-09-19T12:37:43.134,re
1789789080.534,2026-09-19T12:38:00.534,rs v
1789789139.791,2026-09-19T12:38:59.790,re
1789789303.620,2026-09-19T12:41:43.620,cs v
1789789310.116,2026-09-19T12:41:50.115,ce
1789789317.232,2026-09-19T12:41:57.232,cs v
1789789323.544,2026-09-19T12:42:03.543,ce
1789789330.228,2026-09-19T12:42:10.228,cs v
1789789336.460,2026-09-19T12:42:16.460,ce
1789789342.676,2026-09-19T12:42:22.675,cs v
1789789364.399,2026-09-19T12:42:44.399,ce
1789789372.786,2026-09-19T12:42:52.786,cs v
1789789394.050,2026-09-19T12:43:14.050,ce
1789789399.058,2026-09-19T12:43:19.057,cs v
1789789419.652,2026-09-19T12:43:39.652,ce
1789790279.353,2026-09-19T12:57:59.352,n 1
1789790291.152,2026-09-19T12:58:11.152,x
1789790317.492,2026-09-19T12:58:37.492,n 2
1789790324.282,2026-09-19T12:58:44.281,x
1789790343.560,2026-09-19T12:59:03.560,n 2
1789790351.705,2026-09-19T12:59:11.705,x
1789790369.949,2026-09-19T12:59:29.948,n 1
1789790380.767,2026-09-19T12:59:40.767,x
1789790408.060,2026-09-19T13:00:08.060,n 2
1789790435.368,2026-09-19T13:00:35.368,x
1789790454.000,2026-09-19T13:00:53.999,n 1
1789790466.621,2026-09-19T13:01:06.620,x
1789790491.488,2026-09-19T13:01:31.488,n 2
1789790520.044,2026-09-19T13:02:00.043,x
1789790540.060,2026-09-19T13:02:20.059,n 1
1789790549.972,2026-09-19T13:02:29.971,x
1789790581.001,2026-09-19T13:03:01.000,n 2
1789790603.573,2026-09-19T13:03:23.573,x
1789790680.617,2026-09-19T13:04:40.616,n
1789790714.005,2026-09-19T13:05:14.004,n
