ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,event_id,event_x,event_y,ttc,risk_score,risk_level,zone_id,zone_name,zone_type,zone_distance_m,zone_base_risk,zone_speed_limit_kmh,event_type
0,3600,1400,3839.06,1388.82,1.2,0.0,239.32128196213554,-1.2,E000001,3719.53,1394.41,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
1000,3600,1400,3836.75,1389.29,1.2,2.36,236.99212349780743,1.16,E000002,3718.38,1394.64,204.3,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
1000,3600,1400,3590.49,1380.07,1.2,0.0,22.082685525089712,-1.2,E000003,3595.24,1390.03,9999.0,18.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
2000,3600,1400,3833.1,1390.04,1.2,3.72,233.31269061069085,2.5200000000000005,E000004,3716.55,1395.02,92.58,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
2000,3600,1400,3590.16,1382.38,1.2,2.34,20.181427105138006,1.14,E000005,3595.08,1391.19,17.7,21.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach
2000,3600,1400,3736.06,1265.01,1.2,0.0,191.66278642449083,-1.2,E000006,3668.03,1332.51,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
3000,3600,1400,3827.87,1391.12,1.2,5.34,228.0429593300349,4.14,E000007,3713.93,1395.56,55.08,6.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
3000,3600,1400,3590.21,1386.16,1.2,3.78,16.952572076236603,2.58,E000008,3595.11,1393.08,6.57,43.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach
3000,3600,1400,3737.09,1263.26,1.2,2.03,193.6272080571324,0.8299999999999998,E000009,3668.55,1331.63,233.29,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
3000,3600,1400,3647.11,1384.53,1.2,0.0,49.58500781486288,-1.2,E000010,3623.56,1392.26,9999.0,10.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600,1400,3820.3,1389.41,1.2,7.07,220.554388076955,5.87,E000011,3710.15,1394.7,37.57,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600,1400,3590.31,1392.39,1.2,6.23,12.321047033430217,5.03,E000012,3595.15,1396.2,2.45,61.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach
4000,3600,1400,3739.11,1259.82,1.2,3.98,197.48930224191903,2.7800000000000002,E000013,3669.56,1329.91,71.04,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600,1400,3645.86,1382.7,1.2,2.22,49.01458558429328,1.0200000000000002,E000014,3622.93,1391.35,48.05,13.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600,1400,3579.33,1473.34,1.2,0.0,76.19714233486707,-1.2,E000015,3589.66,1436.67,9999.0,5.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
5000,3600,1400,3810.88,1391.35,1.2,9.62,211.05733083690802,8.42,E000016,3705.44,1395.67,25.07,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
5000,3600,1400,3590.42,1400.49,1.2,8.09,9.59252313002156,6.89,E000017,3595.21,1400.24,1.39,71.0,3,OUT,Outside Zone,Normal Area,,0,,Near Miss
5000,3600,1400,3742.42,1254.17,1.2,6.54,203.8377916383515,5.34,E000018,3671.21,1327.09,38.17,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
5000,3600,1400,3644.32,1379.47,1.2,3.59,48.844071288130905,2.3899999999999997,E000019,3622.16,1389.74,20.44,13.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
5000,3600,1400,3577.48,1472.15,1.2,2.21,75.58288761353334,1.01,E000020,3588.74,1436.08,74.83,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
5000,3600,1400,3652.9,1590.58,1.2,0.0,197.78560716088515,-1.2,E000021,3626.45,1495.29,9999.0,3.0,0,Z01,Main Gate,Entrance,24.4,3,20.0,Normal
6000,3600,1400,3799.09,1393.77,1.2,12.04,199.18745191402007,10.84,E000022,3699.55,1396.88,18.38,19.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
6000,3600,1400,3590.06,1410.86,1.2,10.4,14.722200922416421,9.200000000000001,E000023,3595.03,1405.43,1.6,69.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach
6000,3600,1400,3746.6,1247.03,1.2,8.27,211.87586200414614,7.069999999999999,E000024,3673.3,1323.51,29.97,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
6000,3600,1400,3642.93,1374.75,1.2,4.92,49.80509411696745,3.7199999999999998,E000025,3621.47,1387.38,13.39,13.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
6000,3600,1400,3573.83,1469.82,1.2,4.33,74.56340456282824,3.13,E000026,3586.91,1434.91,23.82,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
6000,3600,1400,3651.35,1590.66,1.2,1.55,197.45393918582636,0.3500000000000001,E000027,3625.68,1495.33,564.15,6.0,0,Z01,Main Gate,Entrance,23.64,3,20.0,Normal
