scenario,ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,event_id,event_x,event_y,ttc,risk_score,risk_level,zone_id,zone_name,zone_type,zone_distance_m,zone_base_risk,zone_speed_limit_kmh,event_type,label
scenario_000,0,3600.0,1400.0,3839.06,1388.82,1.2,0.0,239.32128196213557,-1.2,E000001,3719.53,1394.41,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,1000,3600.0,1400.0,3836.75,1389.29,1.2,2.36,236.99212349780743,1.16,E000002,3718.38,1394.64,204.3,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,1000,3600.0,1400.0,3590.49,1380.07,1.2,0.0,22.082685525089712,-1.2,E000003,3595.24,1390.03,9999.0,18.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,2000,3600.0,1400.0,3833.1,1390.04,1.2,3.72,233.31269061069085,2.5200000000000005,E000004,3716.55,1395.02,92.58,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,2000,3600.0,1400.0,3590.16,1382.38,1.2,2.34,20.18142710513801,1.14,E000005,3595.08,1391.19,17.7,21.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,2000,3600.0,1400.0,3736.06,1265.01,1.2,0.0,191.66278642449083,-1.2,E000006,3668.03,1332.51,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,3000,3600.0,1400.0,3827.87,1391.12,1.2,5.34,228.0429593300349,4.14,E000007,3713.93,1395.56,55.08,6.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,3000,3600.0,1400.0,3590.21,1386.16,1.2,3.78,16.952572076236603,2.58,E000008,3595.11,1393.08,6.57,43.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,3000,3600.0,1400.0,3737.09,1263.26,1.2,2.03,193.6272080571324,0.8299999999999998,E000009,3668.55,1331.63,233.29,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,3000,3600.0,1400.0,3647.11,1384.53,1.2,0.0,49.58500781486288,-1.2,E000010,3623.56,1392.26,9999.0,10.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,4000,3600.0,1400.0,3820.3,1389.41,1.2,7.07,220.554388076955,5.87,E000011,3710.15,1394.7,37.57,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,4000,3600.0,1400.0,3590.31,1392.39,1.2,6.23,12.321047033430215,5.03,E000012,3595.15,1396.2,2.45,61.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach,2
scenario_000,4000,3600.0,1400.0,3739.11,1259.82,1.2,3.98,197.48930224191903,2.78,E000013,3669.56,1329.91,71.04,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,4000,3600.0,1400.0,3645.86,1382.7,1.2,2.22,49.01458558429328,1.0200000000000002,E000014,3622.93,1391.35,48.05,13.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,4000,3600.0,1400.0,3579.33,1473.34,1.2,0.0,76.19714233486707,-1.2,E000015,3589.66,1436.67,9999.0,5.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,5000,3600.0,1400.0,3810.88,1391.35,1.2,9.62,211.057330836908,8.42,E000016,3705.44,1395.67,25.07,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,5000,3600.0,1400.0,3590.42,1400.49,1.2,8.09,9.59252313002156,6.89,E000017,3595.21,1400.24,1.39,71.0,3,OUT,Outside Zone,Normal Area,,0,,Near Miss,3
scenario_000,5000,3600.0,1400.0,3742.42,1254.17,1.2,6.54,203.8377916383515,5.34,E000018,3671.21,1327.09,38.17,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,5000,3600.0,1400.0,3644.32,1379.47,1.2,3.59,48.844071288130905,2.39,E000019,3622.16,1389.74,20.44,13.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,5000,3600.0,1400.0,3577.48,1472.15,1.2,2.21,75.58288761353334,1.01,E000020,3588.74,1436.08,74.83,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,5000,3600.0,1400.0,3652.9,1590.58,1.2,0.0,197.78560716088515,-1.2,E000021,3626.45,1495.29,9999.0,3.0,0,Z01,Main Gate,Entrance,24.4,3,20.0,Normal,0
scenario_000,6000,3600.0,1400.0,3799.09,1393.77,1.2,12.04,199.18745191402007,10.84,E000022,3699.55,1396.88,18.38,19.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,6000,3600.0,1400.0,3590.06,1410.86,1.2,10.4,14.72220092241642,9.2,E000023,3595.03,1405.43,1.6,69.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach,2
scenario_000,6000,3600.0,1400.0,3746.6,1247.03,1.2,8.27,211.87586200414611,7.069999999999999,E000024,3673.3,1323.51,29.97,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,6000,3600.0,1400.0,3642.93,1374.75,1.2,4.92,49.80509411696745,3.72,E000025,3621.47,1387.38,13.39,13.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,6000,3600.0,1400.0,3573.83,1469.82,1.2,4.33,74.56340456282824,3.13,E000026,3586.91,1434.91,23.82,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,6000,3600.0,1400.0,3651.35,1590.66,1.2,1.55,197.4539391858264,0.3500000000000001,E000027,3625.68,1495.33,564.15,6.0,0,Z01,Main Gate,Entrance,23.64,3,20.0,Normal,0
scenario_000,6000,3600.0,1400.0,3538.9,1442.25,1.2,0.0,74.28507589011394,-1.2,E000028,3569.45,1421.12,9999.0,5.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,7000,3600.0,1400.0,3785.18,1396.62,1.2,14.19,185.2108441749563,12.99,E000029,3692.59,1398.31,14.26,19.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,7000,3600.0,1400.0,3586.69,1422.84,1.2,12.49,26.435235955065632,11.29,E000030,3593.35,1411.42,2.34,62.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach,2
scenario_000,7000,3600.0,1400.0,3751.51,1238.66,1.2,9.69,221.3275303707156,8.49,E000031,3675.76,1319.33,26.07,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,7000,3600.0,1400.0,3641.79,1368.15,1.2,6.71,52.54356858836285,5.51,E000032,3620.89,1384.08,9.54,29.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,7000,3600.0,1400.0,3569.98,1467.36,1.2,4.56,73.74666094136049,3.3599999999999994,E000033,3584.99,1433.68,21.95,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,7000,3600.0,1400.0,3648.16,1590.82,1.2,3.19,196.80360260930172,1.99,E000034,3624.08,1495.41,98.9,6.0,0,Z01,Main Gate,Entrance,22.1,3,20.0,Normal,0
scenario_000,7000,3600.0,1400.0,3539.83,1443.17,1.2,1.3,74.05455961654229,0.1,E000035,3569.91,1421.59,740.55,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,7000,3600.0,1400.0,3748.28,1407.47,1.2,0.0,148.46804134223655,-1.2,E000036,3674.14,1403.74,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,8000,3600.0,1400.0,3769.4,1399.87,1.2,16.11,169.400049881929,14.91,E000037,3684.7,1399.93,11.36,29.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,8000,3600.0,1400.0,3581.24,1433.3,1.2,11.87,38.22077445578523,10.67,E000038,3590.62,1416.65,3.58,57.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach,2
scenario_000,8000,3600.0,1400.0,3757.46,1228.96,1.2,11.37,232.482974000248,10.17,E000039,3678.73,1314.48,22.86,19.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,8000,3600.0,1400.0,3640.46,1359.57,1.2,8.68,57.197871463892845,7.479999999999999,E000040,3620.23,1379.78,7.65,36.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,8000,3600.0,1400.0,3563.36,1464.96,1.2,7.07,74.58076963936477,5.87,E000041,3581.68,1432.48,12.71,16.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,8000,3600.0,1400.0,3643.1,1591.08,1.2,5.06,195.8805156211305,3.86,E000042,3621.55,1495.54,50.75,9.0,0,Z01,Main Gate,Entrance,19.66,3,20.0,Normal,0
scenario_000,8000,3600.0,1400.0,3541.92,1445.27,1.2,2.96,73.6387078919775,1.76,E000043,3570.96,1422.63,41.84,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,8000,3600.0,1400.0,3745.81,1407.98,1.2,2.53,146.02820446749314,1.3299999999999998,E000044,3672.9,1403.99,109.8,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,8000,3600.0,1400.0,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2,E000045,3536.07,1497.49,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,9000,3600.0,1400.0,3751.85,1403.47,1.2,17.92,151.88964217483684,16.720000000000002,E000046,3675.93,1401.74,9.08,33.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,9000,3600.0,1400.0,3574.82,1443.67,1.2,12.2,50.40933742869468,11.0,E000047,3587.41,1421.84,4.58,49.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach,2
scenario_000,9000,3600.0,1400.0,3767.1,1219.6,1.2,13.03,245.8995119962624,11.83,E000048,3683.55,1309.8,20.79,19.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,9000,3600.0,1400.0,3638.82,1349.29,1.2,10.41,63.86310750347196,9.21,E000049,3619.41,1374.64,6.93,34.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,9000,3600.0,1400.0,3554.47,1461.77,1.2,9.5,76.7366522595299,8.3,E000050,3577.23,1430.88,9.25,24.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,9000,3600.0,1400.0,3636.54,1591.41,1.2,6.58,194.86651764733733,5.38,E000051,3618.27,1495.7,36.22,14.0,0,Z01,Main Gate,Entrance,16.55,3,20.0,Normal,0
scenario_000,9000,3600.0,1400.0,3545.4,1448.76,1.2,4.93,73.20312561632863,3.73,E000052,3572.7,1424.38,19.63,8.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,9000,3600.0,1400.0,3740.81,1409.01,1.2,5.11,141.0979666756399,3.91,E000053,3670.4,1404.51,36.09,6.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,9000,3600.0,1400.0,3473.26,1593.29,1.2,2.01,231.13643524983232,0.8099999999999998,E000054,3536.63,1496.64,285.35,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,10000,3600.0,1400.0,3734.31,1407.08,1.2,17.92,134.49647764904472,16.720000000000002,E000055,3667.15,1403.54,8.04,33.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,10000,3600.0,1400.0,3569.78,1451.81,1.2,9.58,59.97936728575905,8.38,E000056,3584.89,1425.9,7.16,36.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,10000,3600.0,1400.0,3637.22,1298.05,1.2,0.0,108.53170458442084,-1.2,E000057,3618.61,1349.03,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,10000,3600.0,1400.0,3774.75,1207.31,1.2,14.47,260.1288115530458,13.27,E000058,3687.38,1303.65,19.6,19.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,10000,3600.0,1400.0,3637.52,1341.22,1.2,8.18,69.73405767628897,6.98,E000059,3618.76,1370.61,9.99,24.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,10000,3600.0,1400.0,3546.21,1454.09,1.2,11.33,76.28297450938831,10.13,E000060,3573.11,1427.05,7.53,39.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,10000,3600.0,1400.0,3627.92,1591.85,1.2,8.62,193.8709594034134,7.419999999999999,E000061,3613.96,1495.92,26.13,14.0,0,Z01,Main Gate,Entrance,12.59,3,20.0,Normal,0
scenario_000,10000,3600.0,1400.0,3550.23,1453.6,1.2,6.84,73.14378237417031,5.64,E000062,3575.11,1426.8,12.97,16.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,10000,3600.0,1400.0,3733.28,1410.56,1.2,7.65,133.69768883567156,6.45,E000063,3666.64,1405.28,20.73,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,10000,3600.0,1400.0,3475.37,1590.09,1.2,3.84,227.30342056379175,2.64,E000064,3537.68,1495.05,86.1,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
scenario_000,11000,3600.0,1400.0,3716.99,1410.63,1.2,17.92,117.4719413306852,16.720000000000002,E000065,3658.49,1405.32,7.03,40.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach,1
scenario_000,11000,3600.0,1400.0,3567.14,1456.16,1.2,5.09,65.06708230741576,3.89,E000066,3583.57,1428.08,16.73,11.0,0,OUT,Outside Zone,Normal Area,,0,,Normal,0
