ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps
0,3600.0,1400.0,3839.06,1388.82,1.2,0.0,239.32128196213554,-1.2
1000,3600.0,1400.0,3836.26,1389.39,1.2,2.86,236.49811775149522,1.66
1000,3600.0,1400.0,3590.49,1380.07,1.2,0.0,22.082685525089712,-1.2
2000,3600.0,1400.0,3833.3,1390.0,1.2,3.03,233.51421798254617,1.8299999999999998
2000,3600.0,1400.0,3590.16,1382.84,1.2,2.8,19.78108187132356,1.5999999999999999
2000,3600.0,1400.0,3736.06,1265.01,1.2,0.0,191.66278642449083,-1.2
3000,3600.0,1400.0,3829.49,1390.79,1.2,3.89,229.67473565893116,2.6900000000000004
3000,3600.0,1400.0,3590.21,1386.02,1.2,3.18,17.06705891476325,1.9800000000000002
3000,3600.0,1400.0,3737.06,1263.31,1.2,1.96,193.5706581587199,0.76
3000,3600.0,1400.0,3647.11,1384.53,1.2,0.0,49.58500781486288,-1.2
4000,3600.0,1400.0,3824.56,1391.8,1.2,5.04,224.70966512368793,3.84
4000,3600.0,1400.0,3590.3,1392.3,1.2,6.28,12.384667940643267,5.08
4000,3600.0,1400.0,3738.94,1260.1,1.2,3.73,197.17082339940674,2.5300000000000002
4000,3600.0,1400.0,3645.72,1382.5,1.2,2.47,48.95475870638096,1.2700000000000002
4000,3600.0,1400.0,3579.33,1473.34,1.2,0.0,76.19714233486707,-1.2
5000,3600.0,1400.0,3818.47,1393.05,1.2,6.21,218.5805192600656,5.01
5000,3600.0,1400.0,3590.42,1400.09,1.2,7.79,9.580422746413573,6.59
5000,3600.0,1400.0,3742.55,1253.95,1.2,7.12,204.0860235292952,5.92
5000,3600.0,1400.0,3644.53,1380.11,1.2,2.67,48.77020606886977,1.47
5000,3600.0,1400.0,3576.51,1471.52,1.2,3.37,75.278751982216,2.17
5000,3600.0,1400.0,3652.9,1590.58,1.2,0.0,197.78560716088515,-1.2
6000,3600.0,1400.0,3809.2,1391.69,1.2,8.82,209.36498298426108,7.62
6000,3600.0,1400.0,3590.21,1409.27,1.2,9.2,13.482470100096606,7.999999999999999
6000,3600.0,1400.0,3746.42,1247.35,1.2,7.65,211.52030375356415,6.45
6000,3600.0,1400.0,3643.72,1377.48,1.2,2.75,49.17915005365568,1.55
6000,3600.0,1400.0,3570.76,1467.86,1.2,6.82,73.89152319447727,5.62
6000,3600.0,1400.0,3652.23,1590.61,1.2,0.67,197.63639593961423,-0.5299999999999999
6000,3600.0,1400.0,3538.9,1442.25,1.2,0.0,74.28507589011394,-1.2
7000,3600.0,1400.0,3800.43,1393.49,1.2,8.95,200.53569507696113,7.749999999999999
7000,3600.0,1400.0,3588.41,1417.68,1.2,8.65,21.140257803536965,7.45
7000,3600.0,1400.0,3749.87,1241.45,1.2,6.83,218.17222417163913,5.63
7000,3600.0,1400.0,3642.85,1374.49,1.2,3.12,49.86865348091917,1.9200000000000002
7000,3600.0,1400.0,3561.59,1464.5,1.2,9.81,75.07048754337478,8.610000000000001
7000,3600.0,1400.0,3650.63,1590.69,1.2,1.6,197.2969158400608,0.40000000000000013
7000,3600.0,1400.0,3538.91,1442.26,1.2,0.01,74.28253967117722,-1.19
7000,3600.0,1400.0,3748.28,1407.47,1.2,0.0,148.46804134223655,-1.2
8000,3600.0,1400.0,3791.12,1395.4,1.2,9.5,191.175349875448,8.3
8000,3600.0,1400.0,3586.24,1424.19,1.2,6.87,27.82972691206309,5.67
8000,3600.0,1400.0,3753.7,1234.97,1.2,7.52,225.518493476699,6.319999999999999
8000,3600.0,1400.0,3642.09,1370.12,1.2,4.44,51.61765686274435,3.24
8000,3600.0,1400.0,3553.58,1461.24,1.2,8.71,76.84499983733494,7.510000000000001
8000,3600.0,1400.0,3647.5,1590.85,1.2,3.13,196.672246389774,1.93
8000,3600.0,1400.0,3539.6,1442.95,1.2,0.98,74.11384823364669,-0.21999999999999997
8000,3600.0,1400.0,3745.09,1408.13,1.2,3.27,145.31760044812205,2.0700000000000003
8000,3600.0,1400.0,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2
9000,3600.0,1400.0,3782.5,1397.18,1.2,8.8,182.5217860968931,7.6000000000000005
9000,3600.0,1400.0,3582.65,1431.01,1.2,7.75,35.53368261241714,6.55
9000,3600.0,1400.0,3757.67,1228.63,1.2,7.47,232.86800080732428,6.27
9000,3600.0,1400.0,3641.16,1363.94,1.2,6.25,54.72174339328001,5.05
9000,3600.0,1400.0,3546.74,1454.62,1.2,9.55,76.28874097794518,8.350000000000001
9000,3600.0,1400.0,3643.8,1591.04,1.2,3.71,195.99673874837816,2.51
9000,3600.0,1400.0,3541.56,1444.91,1.2,2.78,73.70306438676762,1.5799999999999998
9000,3600.0,1400.0,3737.88,1406.34,1.2,6.7,138.02568601532118,5.5
9000,3600.0,1400.0,3473.21,1593.37,1.2,1.92,231.23075271252296,0.72
10000,3600.0,1400.0,3774.5,1398.82,1.2,8.17,174.50398963920568,6.97
10000,3600.0,1400.0,3578.98,1436.94,1.2,6.97,42.50181172609002,5.77
10000,3600.0,1400.0,3637.22,1298.05,1.2,0.0,108.53170458442084,-1.2
10000,3600.0,1400.0,3761.25,1222.91,1.2,6.74,239.50455235756996,5.54
10000,3600.0,1400.0,3639.99,1356.65,1.2,7.39,58.978153582491665,6.1899999999999995
10000,3600.0,1400.0,3541.45,1449.32,1.2,7.49,76.55432646167044,6.29
10000,3600.0,1400.0,3638.09,1591.33,1.2,5.72,195.08464060504605,4.52
10000,3600.0,1400.0,3544.68,1448.03,1.2,4.41,73.26106264585584,3.21
10000,3600.0,1400.0,3730.18,1407.92,1.2,7.92,130.4206992773768,6.72
10000,3600.0,1400.0,3475.04,1590.58,1.2,3.33,227.8941377043297,2.13
11000,3600.0,1400.0,3766.79,1400.4,1.2,7.87,166.79047964437297,6.67
11000,3600.0,1400.0,3575.3,1442.89,1.2,7.0,49.49385921505818,5.8
11000,3600.0,1400.0,3637.23,1298.16,1.2,0.11,108.43181498065955,-1.0899999999999999
11000,3600.0,1400.0,3844.99,1328.51,1.2,0.0,255.20760215949662,-1.2
11000,3600.0,1400.0,3765.34,1216.37,1.2,7.71,247.0977387593826,6.51
11000,3600.0,1400.0,3638.71,1348.65,1.2,8.1,64.30619410290112,6.8999999999999995
11000,3600.0,1400.0,3535.73,1443.6,1.2,8.09,77.66333047198007,6.89
11000,3600.0,1400.0,3630.18,1591.73,1.2,7.91,194.0907656226849,6.71
11000,3600.0,1400.0,3550.01,1453.38,1.2,7.55,73.13292350234599,6.35
11000,3600.0,1400.0,3722.36,1409.53,1.2,8.09,122.73056057885513,6.89
11000,3600.0,1400.0,3477.22,1587.28,1.2,3.96,223.9391140466534,2.76
11000,3600.0,1400.0,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2
12000,3600.0,1400.0,3759.18,1401.97,1.2,7.77,159.1921898209832,6.569999999999999
12000,3600.0,1400.0,3571.52,1449.0,1.2,7.19,56.67548323569902,5.99
12000,3600.0,1400.0,3637.38,1300.31,1.2,2.15,106.46765001633135,0.95
12000,3600.0,1400.0,3846.62,1328.17,1.2,1.67,256.86761823943465,0.47
12000,3600.0,1400.0,3666.08,1414.19,1.2,0.0,67.5864076571613,-1.2
12000,3600.0,1400.0,3768.96,1210.56,1.2,6.86,253.84049164780632,5.66
12000,3600.0,1400.0,3637.59,1341.63,1.2,7.11,69.42668795211247,5.91
12000,3600.0,1400.0,3530.06,1437.97,1.2,7.99,79.58218707726,6.79
12000,3600.0,1400.0,3623.44,1592.08,1.2,6.75,193.5049353375773,5.55
12000,3600.0,1400.0,3551.95,1455.32,1.2,2.74,73.27417621508965,1.5400000000000003
12000,3600.0,1400.0,3713.37,1411.38,1.2,9.3,113.93972661016866,8.100000000000001
12000,3600.0,1400.0,3481.07,1581.45,1.2,6.99,216.95263861036577,5.79
12000,3600.0,1400.0,3472.36,1594.65,1.2,0.39,232.76724877009653,-0.8099999999999999
13000,3600.0,1400.0,3751.28,1403.59,1.2,8.06,151.32259084485722,6.86
13000,3600.0,1400.0,3567.52,1455.46,1.2,7.6,64.27100434877306,6.3999999999999995
13000,3600.0,1400.0,3637.6,1303.25,1.2,2.95,103.79943400616399,1.7500000000000002
13000,3600.0,1400.0,3849.37,1327.59,1.2,2.8,259.670185042488,1.5999999999999999
13000,3600.0,1400.0,3667.87,1413.99,1.2,1.83,69.29687583145423,0.6300000000000001
13000,3600.0,1400.0,3593.18,1361.28,1.2,0.0,39.316037440210124,-1.2
13000,3600.0,1400.0,3774.22,1202.09,1.2,10.0,263.6683077277206,8.8
13000,3600.0,1400.0,3638.32,1336.1,1.2,5.69,74.50927727471274,4.49
13000,3600.0,1400.0,3524.89,1432.89,1.2,7.26,81.99551329188705,6.06
13000,3600.0,1400.0,3614.96,1592.51,1.2,8.49,193.09039774157594,7.29
13000,3600.0,1400.0,3553.38,1456.75,1.2,2.02,73.44376692408954,0.8200000000000001
13000,3600.0,1400.0,3707.02,1412.68,1.2,6.57,107.76856127832457,5.37
13000,3600.0,1400.0,3485.34,1574.98,1.2,7.75,209.20065965479165,6.55
13000,3600.0,1400.0,3472.77,1594.03,1.2,0.74,232.02395091886524,-0.45999999999999996
14000,3600.0,1400.0,3744.46,1404.99,1.2,6.96,144.54615767982216,5.76
14000,3600.0,1400.0,3566.77,1460.18,1.2,5.0,68.74492926754677,3.8
14000,3600.0,1400.0,3637.93,1307.7,1.2,4.46,99.78965327126845,3.26
14000,3600.0,1400.0,3853.96,1326.64,1.2,4.69,264.34328287285837,3.49
14000,3600.0,1400.0,3672.03,1413.33,1.2,4.28,73.25305317869028,3.08
14000,3600.0,1400.0,3593.27,1361.09,1.2,0.21,39.48773227218811,-0.99
14000,3600.0,1400.0,3778.65,1194.95,1.2,8.44,271.9583148204886,7.239999999999999
14000,3600.0,1400.0,3638.32,1336.1,1.2,0.01,74.50927727471274,-1.19
14000,3600.0,1400.0,3518.68,1426.86,1.2,8.65,85.64112329949918,7.45
14000,3600.0,1400.0,3605.94,1592.74,1.2,9.01,192.83150987325698,7.81
14000,3600.0,1400.0,3553.52,1456.89,1.2,0.2,73.46334119817865,-1.0
14000,3600.0,1400.0,3700.5,1414.02,1.2,6.74,101.47320040286499,5.54
14000,3600.0,1400.0,3489.74,1568.09,1.2,8.18,201.02615675578144,6.9799999999999995
14000,3600.0,1400.0,3474.44,1591.5,1.2,3.03,228.99249682031066,1.8299999999999998
15000,3600.0,1400.0,3734.99,1406.94,1.2,9.68,135.16827919301164,8.48
15000,3600.0,1400.0,3568.62,1462.46,1.2,2.97,69.8996137328384,1.7700000000000002
15000,3600.0,1400.0,3638.51,1315.46,1.2,7.78,92.89796391740785,6.58
15000,3600.0,1400.0,3861.57,1325.05,1.2,7.77,272.0962465746268,6.569999999999999
15000,3600.0,1400.0,3676.25,1412.46,1.2,4.36,77.26133638502507,3.16
15000,3600.0,1400.0,3594.99,1358.08,1.2,3.49,42.218319483371296,2.29
15000,3600.0,1400.0,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2
15000,3600.0,1400.0,3739.98,1369.58,1.2,0.0,143.24725756537194,-1.2
15000,3600.0,1400.0,3782.82,1188.23,1.2,7.93,279.76719839895463,6.7299999999999995
15000,3600.0,1400.0,3638.5,1335.77,1.2,0.38,74.88486429179132,-0.82
15000,3600.0,1400.0,3513.41,1421.75,1.2,7.35,89.27984430990023,6.1499999999999995
15000,3600.0,1400.0,3598.21,1592.75,1.2,7.73,192.7583113642574,6.53
15000,3600.0,1400.0,3555.86,1458.52,1.2,2.86,73.30027285078812,1.66
15000,3600.0,1400.0,3691.12,1415.95,1.2,9.7,92.50544254258763,8.5
15000,3600.0,1400.0,3493.56,1562.09,1.2,7.11,193.91400594077774,5.91
15000,3600.0,1400.0,3476.37,1588.58,1.2,3.5,225.49233534645916,2.3
16000,3600.0,1400.0,3726.59,1408.66,1.2,8.68,126.88586879554413,7.4799999999999995
16000,3600.0,1400.0,3572.47,1465.15,1.2,4.71,70.72781206852099,3.51
16000,3600.0,1400.0,3639.08,1323.12,1.2,7.68,86.24256953500407,6.4799999999999995
16000,3600.0,1400.0,3870.3,1323.23,1.2,8.92,280.9906099854586,7.72
16000,3600.0,1400.0,3681.79,1411.33,1.2,5.73,82.57101791791108,4.53
16000,3600.0,1400.0,3599.04,1353.24,1.2,6.31,46.76985353836378,5.109999999999999
16000,3600.0,1400.0,3473.08,1593.56,1.2,1.69,231.46092542802984,0.49
16000,3600.0,1400.0,3736.73,1369.97,1.2,3.27,139.98890598901045,2.0700000000000003
16000,3600.0,1400.0,3567.2,1449.88,1.2,0.0,59.698026768060124,-1.2
16000,3600.0,1400.0,3787.7,1180.36,1.2,9.3,288.91697700204463,8.100000000000001
16000,3600.0,1400.0,3638.51,1335.75,1.2,0.02,74.90715987140359,-1.18
16000,3600.0,1400.0,3506.72,1415.25,1.2,9.32,94.51836276618441,8.120000000000001
16000,3600.0,1400.0,3590.39,1592.87,1.2,7.82,193.10926699669272,6.62
16000,3600.0,1400.0,3561.03,1460.58,1.2,5.61,72.0319186194563,4.41
16000,3600.0,1400.0,3681.61,1417.9,1.2,9.84,83.54999760622393,8.64
16000,3600.0,1400.0,3498.49,1554.36,1.2,9.16,184.7465553129476,7.96
16000,3600.0,1400.0,3479.37,1584.02,1.2,5.46,220.03399123771766,4.26
17000,3600.0,1400.0,3719.53,1410.11,1.2,7.3,119.95679638936699,6.1
17000,3600.0,1400.0,3578.02,1468.68,1.2,6.57,72.11146094761921,5.37
17000,3600.0,1400.0,3639.9,1327.79,1.2,4.79,82.50026727229441,3.59
17000,3600.0,1400.0,3878.2,1321.58,1.2,8.07,289.0414094900589,6.87
17000,3600.0,1400.0,3687.69,1410.11,1.2,6.11,88.27087968293965,4.91
17000,3600.0,1400.0,3605.14,1346.95,1.2,8.77,53.29842492982315,7.569999999999999
17000,3600.0,1400.0,3474.91,1590.79,1.2,3.32,228.14103576516,2.12
17000,3600.0,1400.0,3730.7,1370.67,1.2,6.07,133.9505091442356,4.87
17000,3600.0,1400.0,3568.48,1447.82,1.2,2.43,57.27357855067197,1.2300000000000002
17000,3600.0,1400.0,3680.71,1339.78,1.2,0.0,100.70031032722794,-1.2
17000,3600.0,1400.0,3792.83,1172.08,1.2,9.78,298.5480452121568,8.58
17000,3600.0,1400.0,3638.51,1335.74,1.2,0.01,74.91573733201868,-1.19
17000,3600.0,1400.0,3500.2,1408.92,1.2,9.09,100.19783630398432,7.89
17000,3600.0,1400.0,3580.92,1593.58,1.2,9.5,194.51802692809724,8.3
17000,3600.0,1400.0,3567.29,1462.43,1.2,6.54,70.48013195220345,5.34
17000,3600.0,1400.0,3673.26,1419.61,1.2,8.64,75.83916995853811,7.44
17000,3600.0,1400.0,3502.02,1548.81,1.2,6.58,178.16985294936958,5.38
17000,3600.0,1400.0,3483.09,1578.38,1.2,6.75,213.27768870653114,5.55
18000,3600.0,1400.0,3710.92,1411.88,1.2,8.91,111.55438494295068,7.71
18000,3600.0,1400.0,3581.5,1470.97,1.2,4.17,73.34160415480427,2.9699999999999998
18000,3600.0,1400.0,3644.41,1330.28,1.2,5.45,82.66272739270094,4.25
18000,3600.0,1400.0,3887.11,1319.72,1.2,9.1,298.12250921391376,7.8999999999999995
18000,3600.0,1400.0,3695.85,1408.44,1.2,8.44,96.2208714365027,7.239999999999999
18000,3600.0,1400.0,3610.32,1342.75,1.2,6.68,58.17271611331212,5.4799999999999995
18000,3600.0,1400.0,3478.38,1585.53,1.2,6.3,221.8395936256645,5.1
18000,3600.0,1400.0,3722.74,1368.34,1.2,8.72,126.75749760862254,7.5200000000000005
18000,3600.0,1400.0,3570.77,1444.12,1.2,4.35,52.92416555789984,3.1499999999999995
18000,3600.0,1400.0,3680.83,1339.87,1.2,0.15,100.74277046021714,-1.05
18000,3600.0,1400.0,3691.77,1333.57,1.2,0.0,113.29023700213538,-1.2
18000,3600.0,1400.0,3796.79,1165.7,1.2,7.54,305.97842097115273,6.34
18000,3600.0,1400.0,3638.51,1335.74,1.2,0.0,74.91573733201868,-1.2
18000,3600.0,1400.0,3494.51,1403.4,1.2,7.92,105.54477770122004,6.72
18000,3600.0,1400.0,3572.64,1594.39,1.2,8.33,196.30598997483506,7.13
18000,3600.0,1400.0,3571.39,1464.46,1.2,4.59,70.52392289145585,3.3899999999999997
18000,3600.0,1400.0,3666.56,1420.58,1.2,6.86,69.66900315061203,5.66
18000,3600.0,1400.0,3505.93,1542.67,1.2,7.28,170.89146789702536,6.08
18000,3600.0,1400.0,3486.93,1572.5,1.2,7.02,206.25487848775853,5.819999999999999
19000,3600.0,1400.0,3702.97,1413.51,1.2,8.22,103.85249635901853,7.0200000000000005
19000,3600.0,1400.0,3585.6,1473.63,1.2,4.89,75.0249085304342,3.6899999999999995
19000,3600.0,1400.0,3647.84,1330.31,1.2,3.44,84.53024133409309,2.24
19000,3600.0,1400.0,3895.01,1318.05,1.2,8.08,306.1808331688973,6.88
