ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,event_id,event_x,event_y,ttc,risk_score,risk_level,zone_id,zone_name,zone_type,zone_distance_m,zone_base_risk,zone_speed_limit_kmh,event_type
0,3600.0,1400.0,3839.06,1388.82,1.2,0.0,239.32128196213554,-1.2,E000001,3719.53,1394.41,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
1000,3600.0,1400.0,3836.26,1389.39,1.2,2.86,236.49811775149522,1.66,E000002,3718.13,1394.7,142.47,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
1000,3600.0,1400.0,3590.49,1380.07,1.2,0.0,22.082685525089712,-1.2,E000003,3595.24,1390.03,9999.0,18.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
2000,3600.0,1400.0,3833.3,1390.0,1.2,3.03,233.51421798254617,1.8299999999999998,E000004,3716.65,1395.0,127.6,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
2000,3600.0,1400.0,3590.16,1382.84,1.2,2.8,19.78108187132356,1.5999999999999999,E000005,3595.08,1391.42,12.36,28.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach
2000,3600.0,1400.0,3736.06,1265.01,1.2,0.0,191.66278642449083,-1.2,E000006,3668.03,1332.51,9999.0,0.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
3000,3600.0,1400.0,3829.49,1390.79,1.2,3.89,229.67473565893116,2.6900000000000004,E000007,3714.74,1395.39,85.38,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
3000,3600.0,1400.0,3590.21,1386.02,1.2,3.18,17.06705891476325,1.9800000000000002,E000008,3595.11,1393.01,8.62,36.0,1,OUT,Outside Zone,Normal Area,,0,,Caution Approach
3000,3600.0,1400.0,3737.06,1263.31,1.2,1.96,193.5706581587199,0.76,E000009,3668.53,1331.65,254.7,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
3000,3600.0,1400.0,3647.11,1384.53,1.2,0.0,49.58500781486288,-1.2,E000010,3623.56,1392.26,9999.0,10.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600.0,1400.0,3824.56,1391.8,1.2,5.04,224.70966512368793,3.84,E000011,3712.28,1395.9,58.52,6.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600.0,1400.0,3590.3,1392.3,1.2,6.28,12.384667940643267,5.08,E000012,3595.15,1396.15,2.44,61.0,2,OUT,Outside Zone,Normal Area,,0,,Warning Approach
4000,3600.0,1400.0,3738.94,1260.1,1.2,3.73,197.17082339940674,2.5300000000000002,E000013,3669.47,1330.05,77.93,3.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600.0,1400.0,3645.72,1382.5,1.2,2.47,48.95475870638096,1.2700000000000002,E000014,3622.86,1391.25,38.55,13.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
4000,3600.0,1400.0,3579.33,1473.34,1.2,0.0,76.19714233486707,-1.2,E000015,3589.66,1436.67,9999.0,5.0,0,OUT,Outside Zone,Normal Area,,0,,Normal
