ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,ttc,risk_level
0,3600,1400,3839.06,1388.82,1.2,0.0,239.32128196213557,-1.2,9999.0,0
1000,3600,1400,3836.75,1389.29,1.2,2.36,236.99212349780743,1.16,204.3035547394892,0
1000,3600,1400,3590.49,1380.07,1.2,0.0,22.082685525089712,-1.2,9999.0,1
2000,3600,1400,3833.1,1390.04,1.2,3.72,233.31269061069085,2.5200000000000005,92.58440103598842,0
2000,3600,1400,3590.16,1382.38,1.2,2.34,20.18142710513801,1.14,17.703006232577202,1
2000,3600,1400,3736.06,1265.01,1.2,0.0,191.66278642449083,-1.2,9999.0,0
3000,3600,1400,3827.87,1391.12,1.2,5.34,228.0429593300349,4.14,55.08284041788283,0
3000,3600,1400,3590.21,1386.16,1.2,3.78,16.952572076236603,2.58,6.570764370634342,1
3000,3600,1400,3737.09,1263.26,1.2,2.03,193.6272080571324,0.8299999999999998,233.2857928399186,0
3000,3600,1400,3647.11,1384.53,1.2,0.0,49.58500781486288,-1.2,9999.0,0
4000,3600,1400,3820.3,1389.41,1.2,7.07,220.554388076955,5.87,37.573149587215504,0
4000,3600,1400,3590.31,1392.39,1.2,6.23,12.321047033430215,5.03,2.4495123326899035,1
4000,3600,1400,3739.11,1259.82,1.2,3.98,197.48930224191903,2.78,71.03931735320829,0
4000,3600,1400,3645.86,1382.7,1.2,2.22,49.01458558429328,1.0200000000000002,48.05351527871889,0
4000,3600,1400,3579.33,1473.34,1.2,0.0,76.19714233486707,-1.2,9999.0,0
5000,3600,1400,3810.88,1391.35,1.2,9.62,211.057330836908,8.42,25.066191310796675,0
5000,3600,1400,3590.42,1400.49,1.2,8.09,9.59252313002156,6.89,1.3922384804095151,2
5000,3600,1400,3742.42,1254.17,1.2,6.54,203.8377916383515,5.34,38.17187109332425,0
5000,3600,1400,3644.32,1379.47,1.2,3.59,48.844071288130905,2.39,20.436849911351842,0
5000,3600,1400,3577.48,1472.15,1.2,2.21,75.58288761353334,1.01,74.83454219161717,0
5000,3600,1400,3652.9,1590.58,1.2,0.0,197.78560716088515,-1.2,9999.0,0
6000,3600,1400,3799.09,1393.77,1.2,12.04,199.18745191402007,10.84,18.375226191330267,0
6000,3600,1400,3590.06,1410.86,1.2,10.4,14.72220092241642,9.2,1.6002392306974371,1
6000,3600,1400,3746.6,1247.03,1.2,8.27,211.87586200414611,7.069999999999999,29.96829731317484,0
6000,3600,1400,3642.93,1374.75,1.2,4.92,49.80509411696745,3.72,13.38846616047512,0
6000,3600,1400,3573.83,1469.82,1.2,4.33,74.56340456282824,3.13,23.822173981734263,0
6000,3600,1400,3651.35,1590.66,1.2,1.55,197.4539391858264,0.3500000000000001,564.1541119595039,0
6000,3600,1400,3538.9,1442.25,1.2,0.0,74.28507589011394,-1.2,9999.0,0
7000,3600,1400,3785.18,1396.62,1.2,14.19,185.2108441749563,12.99,14.257955671667151,0
7000,3600,1400,3586.69,1422.84,1.2,12.49,26.435235955065632,11.29,2.341473512406168,1
7000,3600,1400,3751.51,1238.66,1.2,9.69,221.3275303707156,8.49,26.069202634948834,0
7000,3600,1400,3641.79,1368.15,1.2,6.71,52.54356858836285,5.51,9.536037856327196,0
7000,3600,1400,3569.98,1467.36,1.2,4.56,73.74666094136049,3.3599999999999994,21.94841099445253,0
7000,3600,1400,3648.16,1590.82,1.2,3.19,196.80360260930172,1.99,98.89628271824208,0
7000,3600,1400,3539.83,1443.17,1.2,1.3,74.05455961654229,0.1,740.5455961654229,0
7000,3600,1400,3748.28,1407.47,1.2,0.0,148.46804134223655,-1.2,9999.0,0
8000,3600,1400,3769.4,1399.87,1.2,16.11,169.400049881929,14.91,11.361505692952983,0
8000,3600,1400,3581.24,1433.3,1.2,11.87,38.22077445578523,10.67,3.582078205790556,0
8000,3600,1400,3757.46,1228.96,1.2,11.37,232.482974000248,10.17,22.859682792551425,0
8000,3600,1400,3640.46,1359.57,1.2,8.68,57.197871463892845,7.479999999999999,7.646774259878724,0
8000,3600,1400,3563.36,1464.96,1.2,7.07,74.58076963936477,5.87,12.705412204321085,0
8000,3600,1400,3643.1,1591.08,1.2,5.06,195.8805156211305,3.86,50.74624757024107,0
8000,3600,1400,3541.92,1445.27,1.2,2.96,73.6387078919775,1.76,41.84017493862358,0
8000,3600,1400,3745.81,1407.98,1.2,2.53,146.02820446749314,1.3299999999999998,109.79564245676177,0
8000,3600,1400,3472.15,1594.97,1.2,0.0,233.15000193008788,-1.2,9999.0,0
