session,label,alarm%,still_alarm%,reacq_ghost,approach_detected,approach_timely(T_floor)
111216,규칙,0.0,0.0,0/49,0/1,0/1
111216,모델 82,0.1,0.27,0/49,1/1,1/1
111216,모델 82jump,0.03,0.0,0/49,0/1,0/1
122247,규칙,1.81,0.2,1/8,7/27,4/27
122247,모델 82,2.93,0.28,1/8,9/27,5/27
122247,모델 82jump,6.42,6.22,1/8,10/27,5/27
141209,규칙,0.68,0.0,0/22,1/4,1/4
141209,모델 82,0.25,0.0,0/22,0/4,0/4
141209,모델 82jump,0.09,0.0,0/22,1/4,1/4
145152,규칙,1.53,0.33,0/48,12/27,3/27
145152,모델 82,1.08,0.07,0/48,14/27,5/27
145152,모델 82jump,3.09,2.48,1/48,20/27,9/27
172101,규칙,1.65,0.0,0/1,4/10,3/10
172101,모델 82,0.28,0.0,0/1,1/10,1/10
172101,모델 82jump,1.41,2.12,0/1,5/10,2/10
174332,규칙,1.93,0.01,3/39,9/14,3/14
174332,모델 82,0.61,0.1,3/39,3/14,0/14
174332,모델 82jump,2.19,1.84,5/39,7/14,1/14
180708,규칙,1.17,0.0,0/10,2/8,1/8
180708,모델 82,0.44,0.0,0/10,1/8,0/8
180708,모델 82jump,2.65,2.67,2/10,2/8,0/8
181320,규칙,0.28,0.0,1/11,1/10,0/10
181320,모델 82,0.46,0.0,0/11,3/10,2/10
181320,모델 82jump,1.42,1.34,0/11,2/10,1/10
182456,규칙,0.1,0.0,1/10,1/7,1/7
182456,모델 82,0.81,0.29,2/10,2/7,1/7
182456,모델 82jump,0.3,0.2,0/10,0/7,0/7
