wall_time,elapsed_s,gap_s,type,seq,rssi,distance_m,ttc_s,node_risk,computed_risk,vehicle_risk,cane_risk,final_risk,reason,raw
1782982979.457,0.011,,text,,,,,,,,,,,""":0.00,""node_risk"":2,""tx_ms"":2117609,""rx_ms"":3566228,""recv_count"":34612,""lost_count"":117358,""rssi"":-40,""src_mac"":""30:76:F5:E7:51:28""}"
1782982979.539,0.093,0.082,vehicle,34736,-10,-,-,0,0,0,-,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34736, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3517575, ""rx_ms"": 3566317, ""recv_count"": 34737, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982979.559,0.113,0.020,cane,20898,-39,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20898, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2117710, ""rx_ms"": 3566332, ""recv_count"": 34613, ""lost_count"": 117358, ""rssi"": -39, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982979.641,0.195,0.082,vehicle,34737,-12,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34737, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3517676, ""rx_ms"": 3566419, ""recv_count"": 34738, ""lost_count"": 0, ""rssi"": -12, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982979.661,0.215,0.020,cane,20899,-41,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20899, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2117812, ""rx_ms"": 3566438, ""recv_count"": 34614, ""lost_count"": 117358, ""rssi"": -41, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982979.743,0.297,0.082,vehicle,34738,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34738, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3517777, ""rx_ms"": 3566521, ""recv_count"": 34739, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982979.764,0.317,0.020,cane,20900,-41,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20900, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2117914, ""rx_ms"": 3566534, ""recv_count"": 34615, ""lost_count"": 117358, ""rssi"": -41, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982979.847,0.401,0.083,vehicle,34739,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34739, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3517878, ""rx_ms"": 3566625, ""recv_count"": 34740, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982979.867,0.421,0.020,cane,20901,-39,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20901, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2118016, ""rx_ms"": 3566639, ""recv_count"": 34616, ""lost_count"": 117358, ""rssi"": -39, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982979.945,0.499,0.078,vehicle,34740,-10,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34740, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3517980, ""rx_ms"": 3566723, ""recv_count"": 34741, ""lost_count"": 0, ""rssi"": -10, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982979.966,0.520,0.020,cane,20902,-38,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20902, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2118120, ""rx_ms"": 3566738, ""recv_count"": 34617, ""lost_count"": 117358, ""rssi"": -38, ""src_mac"": ""30:76:F5:E7:51:28""}"
1782982980.047,0.601,0.082,vehicle,34741,-11,-,-,0,0,0,0,0,safe_distance_and_ttc,"{""type"": ""vehicle"", ""node_id"": 2882630492, ""seq"": 34741, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.000038, ""speed_mps"": 0.42, ""heading_deg"": 90.0, ""node_risk"": 0, ""tx_ms"": 3518081, ""rx_ms"": 3566825, ""recv_count"": 34742, ""lost_count"": 0, ""rssi"": -11, ""src_mac"": ""1C:C3:AB:D1:73:5C""}"
1782982980.068,0.621,0.020,cane,20903,-40,-,-,2,0,0,0,0,safe_distance_and_ttc,"{""type"": ""cane"", ""node_id"": 4125577512, ""seq"": 20903, ""gps_valid"": 1, ""lat"": 37.0, ""lng"": 127.0, ""speed_mps"": 0.0, ""heading_deg"": 0.0, ""node_risk"": 2, ""tx_ms"": 2118220, ""rx_ms"": 3566839, ""recv_count"": 34618, ""lost_count"": 117358, ""rssi"": -40, ""src_mac"": ""30:76:F5:E7:51:28""}"
