rx_wall,node_id,distance_m,closing_mps,ttc_s,risk_level,reason,sent
1782723613.924,,0.00,0.00,inf,0,no_vehicle,"{""target_id"": 0, ""risk"": 0}"
1782723614.023,,0.00,0.00,inf,0,no_vehicle,
1782723614.123,,0.00,0.00,inf,0,no_vehicle,
1782723614.226,,0.00,0.00,inf,0,no_vehicle,
1782723614.323,,0.00,0.00,inf,0,no_vehicle,
1782723614.422,,0.00,0.00,inf,0,no_vehicle,
1782723614.522,,0.00,0.00,inf,0,no_vehicle,
1782723614.622,,0.00,0.00,inf,0,no_vehicle,
1782723614.722,,0.00,0.00,inf,0,no_vehicle,
1782723614.823,,0.00,0.00,inf,0,no_vehicle,
1782723614.923,,0.00,0.00,inf,0,no_vehicle,
1782723615.022,,0.00,0.00,inf,0,no_vehicle,
1782723615.125,,0.00,0.00,inf,0,no_vehicle,
1782723615.222,,0.00,0.00,inf,0,no_vehicle,
1782723615.322,,0.00,0.00,inf,0,no_vehicle,
1782723615.422,,0.00,0.00,inf,0,no_vehicle,
1782723615.522,,0.00,0.00,inf,0,no_vehicle,
1782723615.622,,0.00,0.00,inf,0,no_vehicle,
1782723615.722,,0.00,0.00,inf,0,no_vehicle,
1782723615.822,,0.00,0.00,inf,0,no_vehicle,
1782723615.922,,0.00,0.00,inf,0,no_vehicle,
1782723616.022,,0.00,0.00,inf,0,no_vehicle,
1782723616.122,,0.00,0.00,inf,0,no_vehicle,
1782723616.224,,0.00,0.00,inf,0,no_vehicle,
1782723616.325,,0.00,0.00,inf,0,no_vehicle,
1782723616.422,,0.00,0.00,inf,0,no_vehicle,
1782723616.524,,0.00,0.00,inf,0,no_vehicle,
1782723616.622,,0.00,0.00,inf,0,no_vehicle,
1782723616.724,,0.00,0.00,inf,0,no_vehicle,
1782723616.822,,0.00,0.00,inf,0,no_vehicle,
1782723616.926,,0.00,0.00,inf,0,no_vehicle,
1782723617.022,,0.00,0.00,inf,0,no_vehicle,
1782723617.122,,0.00,0.00,inf,0,no_vehicle,
1782723617.223,2882630492,43.50,8.00,5.44,1,sim ttc<5.5s,"{""target_id"": 0, ""risk"": 1}"
1782723617.322,2882630492,43.00,8.00,5.38,1,sim ttc<5.5s,
1782723617.422,2882630492,42.50,8.00,5.31,1,sim ttc<5.5s,
1782723617.522,2882630492,42.00,8.00,5.25,1,sim ttc<5.5s,
1782723617.622,2882630492,41.50,8.00,5.19,1,sim ttc<5.5s,
1782723617.722,2882630492,41.00,8.00,5.12,1,sim ttc<5.5s,
1782723617.823,2882630492,40.50,8.00,5.06,1,sim ttc<5.5s,
1782723617.922,2882630492,40.00,8.00,5.00,1,sim ttc<5.5s,
1782723618.022,2882630492,39.50,8.00,4.94,1,sim ttc<5.5s,
1782723618.122,2882630492,39.00,8.00,4.88,1,sim ttc<5.5s,
1782723618.223,2882630492,38.50,8.00,4.81,1,sim ttc<5.5s,
1782723618.322,2882630492,38.00,8.00,4.75,1,sim ttc<5.5s,
1782723618.423,2882630492,37.50,8.00,4.69,1,sim ttc<5.5s,
1782723618.528,2882630492,37.00,8.00,4.62,1,sim ttc<5.5s,
1782723618.722,2882630492,36.50,8.00,4.56,1,sim ttc<5.5s,
1782723618.822,2882630492,36.00,8.00,4.50,1,sim ttc<5.5s,
1782723618.922,2882630492,35.50,8.00,4.44,1,sim ttc<5.5s,
1782723619.022,2882630492,35.00,8.00,4.38,1,sim ttc<5.5s,
1782723619.122,2882630492,34.50,8.00,4.31,1,sim ttc<5.5s,
1782723619.223,2882630492,34.00,8.00,4.25,1,sim ttc<5.5s,
1782723619.322,2882630492,33.50,8.00,4.19,1,sim ttc<5.5s,
1782723619.422,2882630492,33.00,8.00,4.12,1,sim ttc<5.5s,
1782723619.522,2882630492,32.50,8.00,4.06,1,sim ttc<5.5s,
1782723619.622,2882630492,32.00,8.00,4.00,1,sim ttc<5.5s,
1782723619.722,2882630492,31.50,8.00,3.94,1,sim ttc<5.5s,
1782723619.822,2882630492,31.00,8.00,3.88,1,sim ttc<5.5s,
