"wall_time","elapsed_s","type","node_id","risk_level","lat","lng","speed_mps","heading_deg","seq","raw"
"1782982709.488","0.036","text","","","","","","","","512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l512,""seq"":30327,""gps_valid"":1,""l51"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,""at"":37.000000,""lng"":127.000000,"".00,""node_risk"":0,""tx_ms"":3034114,""rx_ms"":3176464,""recv_count"":30327,""lost_count"":1,""rssi"":-20,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982709.577","0.125","cane","4125577512","","37.0","127.0","0.0","0.0","30328","{""type"":""cane"",""node_id"":4125577512,""seq"":30328,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034214,""rx_ms"":3176564,""recv_count"":30328,""lost_count"":1,""rssi"":-20,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982709.679","0.227","cane","4125577512","","37.0","127.0","0.0","0.0","30329","{""type"":""cane"",""node_id"":4125577512,""seq"":30329,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034314,""rx_ms"":3176666,""recv_count"":30329,""lost_count"":1,""rssi"":-22,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982709.780","0.328","cane","4125577512","","37.0","127.0","0.0","0.0","30330","{""type"":""cane"",""node_id"":4125577512,""seq"":30330,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034414,""rx_ms"":3176767,""recv_count"":30330,""lost_count"":1,""rssi"":-20,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982709.877","0.425","cane","4125577512","","37.0","127.0","0.0","0.0","30331","{""type"":""cane"",""node_id"":4125577512,""seq"":30331,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034514,""rx_ms"":3176864,""recv_count"":30331,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982709.979","0.528","cane","4125577512","","37.0","127.0","0.0","0.0","30332","{""type"":""cane"",""node_id"":4125577512,""seq"":30332,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034614,""rx_ms"":3176967,""recv_count"":30332,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.077","0.625","cane","4125577512","","37.0","127.0","0.0","0.0","30333","{""type"":""cane"",""node_id"":4125577512,""seq"":30333,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034714,""rx_ms"":3177064,""recv_count"":30333,""lost_count"":1,""rssi"":-28,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.177","0.725","cane","4125577512","","37.0","127.0","0.0","0.0","30334","{""type"":""cane"",""node_id"":4125577512,""seq"":30334,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034814,""rx_ms"":3177164,""recv_count"":30334,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.278","0.826","cane","4125577512","","37.0","127.0","0.0","0.0","30335","{""type"":""cane"",""node_id"":4125577512,""seq"":30335,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3034914,""rx_ms"":3177265,""recv_count"":30335,""lost_count"":1,""rssi"":-21,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.380","0.929","cane","4125577512","","37.0","127.0","0.0","0.0","30336","{""type"":""cane"",""node_id"":4125577512,""seq"":30336,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035014,""rx_ms"":3177368,""recv_count"":30336,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.477","1.025","cane","4125577512","","37.0","127.0","0.0","0.0","30337","{""type"":""cane"",""node_id"":4125577512,""seq"":30337,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035114,""rx_ms"":3177464,""recv_count"":30337,""lost_count"":1,""rssi"":-20,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.581","1.129","cane","4125577512","","37.0","127.0","0.0","0.0","30338","{""type"":""cane"",""node_id"":4125577512,""seq"":30338,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035214,""rx_ms"":3177568,""recv_count"":30338,""lost_count"":1,""rssi"":-26,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.677","1.225","cane","4125577512","","37.0","127.0","0.0","0.0","30339","{""type"":""cane"",""node_id"":4125577512,""seq"":30339,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035314,""rx_ms"":3177664,""recv_count"":30339,""lost_count"":1,""rssi"":-20,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.777","1.325","cane","4125577512","","37.0","127.0","0.0","0.0","30340","{""type"":""cane"",""node_id"":4125577512,""seq"":30340,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035414,""rx_ms"":3177764,""recv_count"":30340,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.877","1.425","cane","4125577512","","37.0","127.0","0.0","0.0","30341","{""type"":""cane"",""node_id"":4125577512,""seq"":30341,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035514,""rx_ms"":3177864,""recv_count"":30341,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982710.978","1.527","cane","4125577512","","37.0","127.0","0.0","0.0","30342","{""type"":""cane"",""node_id"":4125577512,""seq"":30342,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035614,""rx_ms"":3177966,""recv_count"":30342,""lost_count"":1,""rssi"":-28,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982711.077","1.626","cane","4125577512","","37.0","127.0","0.0","0.0","30343","{""type"":""cane"",""node_id"":4125577512,""seq"":30343,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035714,""rx_ms"":3178065,""recv_count"":30343,""lost_count"":1,""rssi"":-18,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982711.179","1.727","cane","4125577512","","37.0","127.0","0.0","0.0","30344","{""type"":""cane"",""node_id"":4125577512,""seq"":30344,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035814,""rx_ms"":3178166,""recv_count"":30344,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982711.277","1.825","cane","4125577512","","37.0","127.0","0.0","0.0","30345","{""type"":""cane"",""node_id"":4125577512,""seq"":30345,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3035914,""rx_ms"":3178265,""recv_count"":30345,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982711.379","1.927","cane","4125577512","","37.0","127.0","0.0","0.0","30346","{""type"":""cane"",""node_id"":4125577512,""seq"":30346,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3036014,""rx_ms"":3178366,""recv_count"":30346,""lost_count"":1,""rssi"":-19,""src_mac"":""30:76:F5:E7:51:28""}"
"1782982711.478","2.026","cane","4125577512","","37.0","127.0","0.0","0.0","30347","{""type"":""cane"",""node_id"":4125577512,""seq"":30347,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":0,""tx_ms"":3036114,""rx_ms"":3178465,""recv_count"":30347,""lost_count"":1,""rssi"":-26,""src_mac"":""30:76:F5:E7:51:28""}"
