"wall_time","elapsed_s","type","node_id","risk_level","lat","lng","speed_mps","heading_deg","seq","raw"
"1782796915.687","0.085","vehicle","2882630492","","37.0","127.000053","0.42","90.0","61782","{""type"":""vehicle"",""node_id"":2882630492,""seq"":61782,""gps_valid"":1,""lat"":37.000000,""lng"":127.000053,""speed_mps"":0.420,""heading_deg"":90.00,""node_risk"":0,""tx_ms"":6219794,""rx_ms"":6357366,""recv_count"":62363,""lost_count"":64956,""rssi"":-22,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782796915.707","0.106","cane","4125577512","","37.0","127.0","0.0","0.0","12617","{""type"":""cane"",""node_id"":4125577512,""seq"":12617,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":1278812,""rx_ms"":6357380,""recv_count"":31936,""lost_count"":636042,""rssi"":-30,""src_mac"":""30:76:F5:E7:51:28""}"
"1782796915.790","0.189","vehicle","2882630492","","37.0","127.000053","0.42","90.0","61783","{""type"":""vehicle"",""node_id"":2882630492,""seq"":61783,""gps_valid"":1,""lat"":37.000000,""lng"":127.000053,""speed_mps"":0.420,""heading_deg"":90.00,""node_risk"":0,""tx_ms"":6219895,""rx_ms"":6357470,""recv_count"":62364,""lost_count"":64956,""rssi"":-29,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782796915.810","0.209","cane","4125577512","","37.0","127.0","0.0","0.0","12618","{""type"":""cane"",""node_id"":4125577512,""seq"":12618,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":1278914,""rx_ms"":6357483,""recv_count"":31937,""lost_count"":636042,""rssi"":-23,""src_mac"":""30:76:F5:E7:51:28""}"
"1782796915.891","0.290","vehicle","2882630492","","37.0","127.000053","0.42","90.0","61784","{""type"":""vehicle"",""node_id"":2882630492,""seq"":61784,""gps_valid"":1,""lat"":37.000000,""lng"":127.000053,""speed_mps"":0.420,""heading_deg"":90.00,""node_risk"":0,""tx_ms"":6219996,""rx_ms"":6357571,""recv_count"":62365,""lost_count"":64956,""rssi"":-28,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782796915.912","0.311","cane","4125577512","","37.0","127.0","0.0","0.0","12619","{""type"":""cane"",""node_id"":4125577512,""seq"":12619,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":1279017,""rx_ms"":6357585,""recv_count"":31938,""lost_count"":636042,""rssi"":-24,""src_mac"":""30:76:F5:E7:51:28""}"
"1782796915.991","0.390","vehicle","2882630492","","37.0","127.000053","0.42","270.0","61785","{""type"":""vehicle"",""node_id"":2882630492,""seq"":61785,""gps_valid"":1,""lat"":37.000000,""lng"":127.000053,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":6220097,""rx_ms"":6357671,""recv_count"":62366,""lost_count"":64956,""rssi"":-30,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782796916.011","0.410","cane","4125577512","","37.0","127.0","0.0","0.0","12620","{""type"":""cane"",""node_id"":4125577512,""seq"":12620,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":1279119,""rx_ms"":6357684,""recv_count"":31939,""lost_count"":636042,""rssi"":-31,""src_mac"":""30:76:F5:E7:51:28""}"
"1782796916.090","0.489","vehicle","2882630492","","37.0","127.000053","0.42","270.0","61786","{""type"":""vehicle"",""node_id"":2882630492,""seq"":61786,""gps_valid"":1,""lat"":37.000000,""lng"":127.000053,""speed_mps"":0.420,""heading_deg"":270.00,""node_risk"":0,""tx_ms"":6220198,""rx_ms"":6357770,""recv_count"":62367,""lost_count"":64956,""rssi"":-22,""src_mac"":""1C:C3:AB:D1:73:5C""}"
"1782796916.111","0.510","cane","4125577512","","37.0","127.0","0.0","0.0","12621","{""type"":""cane"",""node_id"":4125577512,""seq"":12621,""gps_valid"":1,""lat"":37.000000,""lng"":127.000000,""speed_mps"":0.000,""heading_deg"":0.00,""node_risk"":2,""tx_ms"":1279219,""rx_ms"":6357785,""recv_count"":31940,""lost_count"":636042,""rssi"":-31,""src_mac"":""30:76:F5:E7:51:28""}"
