ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,scenario,ttc,risk_score,risk_level,event_type,event_id,event_x,event_y,zone_id,zone_name,zone_type,zone_distance_m,zone_base_risk,zone_speed_limit_kmh
0,3600,1400,3839.06,1388.82,1.2,0.0,239.3212819621356,-1.2,scenario_000,9999.0,0.0,0,Normal,E000001,3719.53,1394.41,OUT,Outside Zone,Normal Area,,0,
1000,3600,1400,3836.75,1389.29,1.2,2.36,236.99212349780743,1.16,scenario_000,204.3,3.0,0,Normal,E000002,3718.38,1394.64,OUT,Outside Zone,Normal Area,,0,
1000,3600,1400,3590.49,1380.07,1.2,0.0,22.082685525089712,-1.2,scenario_000,9999.0,18.0,0,Normal,E000003,3595.24,1390.03,OUT,Outside Zone,Normal Area,,0,
2000,3600,1400,3833.1,1390.04,1.2,3.72,233.31269061069085,2.5200000000000005,scenario_000,92.58,3.0,0,Normal,E000004,3716.55,1395.02,OUT,Outside Zone,Normal Area,,0,
2000,3600,1400,3590.16,1382.38,1.2,2.34,20.18142710513801,1.14,scenario_000,17.7,21.0,1,Caution Approach,E000005,3595.08,1391.19,OUT,Outside Zone,Normal Area,,0,
2000,3600,1400,3736.06,1265.01,1.2,0.0,191.66278642449083,-1.2,scenario_000,9999.0,0.0,0,Normal,E000006,3668.03,1332.51,OUT,Outside Zone,Normal Area,,0,
3000,3600,1400,3827.87,1391.12,1.2,5.34,228.0429593300349,4.14,scenario_000,55.08,6.0,0,Normal,E000007,3713.93,1395.56,OUT,Outside Zone,Normal Area,,0,
3000,3600,1400,3590.21,1386.16,1.2,3.78,16.952572076236603,2.58,scenario_000,6.57,43.0,1,Caution Approach,E000008,3595.11,1393.08,OUT,Outside Zone,Normal Area,,0,
3000,3600,1400,3737.09,1263.26,1.2,2.03,193.6272080571324,0.8299999999999998,scenario_000,233.29,3.0,0,Normal,E000009,3668.55,1331.63,OUT,Outside Zone,Normal Area,,0,
3000,3600,1400,3647.11,1384.53,1.2,0.0,49.58500781486288,-1.2,scenario_000,9999.0,10.0,0,Normal,E000010,3623.56,1392.26,OUT,Outside Zone,Normal Area,,0,
4000,3600,1400,3820.3,1389.41,1.2,7.07,220.554388076955,5.87,scenario_000,37.57,11.0,0,Normal,E000011,3710.15,1394.7,OUT,Outside Zone,Normal Area,,0,
4000,3600,1400,3590.31,1392.39,1.2,6.23,12.321047033430215,5.03,scenario_000,2.45,61.0,2,Warning Approach,E000012,3595.15,1396.2,OUT,Outside Zone,Normal Area,,0,
4000,3600,1400,3739.11,1259.82,1.2,3.98,197.48930224191903,2.78,scenario_000,71.04,3.0,0,Normal,E000013,3669.56,1329.91,OUT,Outside Zone,Normal Area,,0,
4000,3600,1400,3645.86,1382.7,1.2,2.22,49.01458558429328,1.0200000000000002,scenario_000,48.05,13.0,0,Normal,E000014,3622.93,1391.35,OUT,Outside Zone,Normal Area,,0,
4000,3600,1400,3579.33,1473.34,1.2,0.0,76.19714233486707,-1.2,scenario_000,9999.0,5.0,0,Normal,E000015,3589.66,1436.67,OUT,Outside Zone,Normal Area,,0,
5000,3600,1400,3810.88,1391.35,1.2,9.62,211.057330836908,8.42,scenario_000,25.07,11.0,0,Normal,E000016,3705.44,1395.67,OUT,Outside Zone,Normal Area,,0,
5000,3600,1400,3590.42,1400.49,1.2,8.09,9.59252313002156,6.89,scenario_000,1.39,71.0,3,Near Miss,E000017,3595.21,1400.24,OUT,Outside Zone,Normal Area,,0,
5000,3600,1400,3742.42,1254.17,1.2,6.54,203.8377916383515,5.34,scenario_000,38.17,11.0,0,Normal,E000018,3671.21,1327.09,OUT,Outside Zone,Normal Area,,0,
5000,3600,1400,3644.32,1379.47,1.2,3.59,48.844071288130905,2.39,scenario_000,20.44,13.0,0,Normal,E000019,3622.16,1389.74,OUT,Outside Zone,Normal Area,,0,
5000,3600,1400,3577.48,1472.15,1.2,2.21,75.58288761353334,1.01,scenario_000,74.83,8.0,0,Normal,E000020,3588.74,1436.08,OUT,Outside Zone,Normal Area,,0,
5000,3600,1400,3652.9,1590.58,1.2,0.0,197.78560716088515,-1.2,scenario_000,9999.0,3.0,0,Normal,E000021,3626.45,1495.29,Z01,Main Gate,Entrance,24.4,3,20.0
6000,3600,1400,3799.09,1393.77,1.2,12.04,199.18745191402007,10.84,scenario_000,18.38,19.0,0,Normal,E000022,3699.55,1396.88,OUT,Outside Zone,Normal Area,,0,
6000,3600,1400,3590.06,1410.86,1.2,10.4,14.72220092241642,9.2,scenario_000,1.6,69.0,2,Warning Approach,E000023,3595.03,1405.43,OUT,Outside Zone,Normal Area,,0,
6000,3600,1400,3746.6,1247.03,1.2,8.27,211.8758620041461,7.069999999999999,scenario_000,29.97,11.0,0,Normal,E000024,3673.3,1323.51,OUT,Outside Zone,Normal Area,,0,
6000,3600,1400,3642.93,1374.75,1.2,4.92,49.80509411696745,3.72,scenario_000,13.39,13.0,0,Normal,E000025,3621.47,1387.38,OUT,Outside Zone,Normal Area,,0,
6000,3600,1400,3573.83,1469.82,1.2,4.33,74.56340456282824,3.13,scenario_000,23.82,8.0,0,Normal,E000026,3586.91,1434.91,OUT,Outside Zone,Normal Area,,0,
6000,3600,1400,3651.35,1590.66,1.2,1.55,197.4539391858264,0.3500000000000001,scenario_000,564.15,6.0,0,Normal,E000027,3625.68,1495.33,Z01,Main Gate,Entrance,23.64,3,20.0
6000,3600,1400,3538.9,1442.25,1.2,0.0,74.28507589011394,-1.2,scenario_000,9999.0,5.0,0,Normal,E000028,3569.45,1421.12,OUT,Outside Zone,Normal Area,,0,
7000,3600,1400,3785.18,1396.62,1.2,14.19,185.2108441749563,12.99,scenario_000,14.26,19.0,0,Normal,E000029,3692.59,1398.31,OUT,Outside Zone,Normal Area,,0,
7000,3600,1400,3586.69,1422.84,1.2,12.49,26.435235955065632,11.29,scenario_000,2.34,62.0,2,Warning Approach,E000030,3593.35,1411.42,OUT,Outside Zone,Normal Area,,0,
7000,3600,1400,3751.51,1238.66,1.2,9.69,221.3275303707156,8.49,scenario_000,26.07,11.0,0,Normal,E000031,3675.76,1319.33,OUT,Outside Zone,Normal Area,,0,
7000,3600,1400,3641.79,1368.15,1.2,6.71,52.54356858836285,5.51,scenario_000,9.54,29.0,1,Caution Approach,E000032,3620.89,1384.08,OUT,Outside Zone,Normal Area,,0,
7000,3600,1400,3569.98,1467.36,1.2,4.56,73.74666094136049,3.3599999999999994,scenario_000,21.95,8.0,0,Normal,E000033,3584.99,1433.68,OUT,Outside Zone,Normal Area,,0,
7000,3600,1400,3648.16,1590.82,1.2,3.19,196.8036026093017,1.99,scenario_000,98.9,6.0,0,Normal,E000034,3624.08,1495.41,Z01,Main Gate,Entrance,22.1,3,20.0
7000,3600,1400,3539.83,1443.17,1.2,1.3,74.05455961654229,0.1,scenario_000,740.55,8.0,0,Normal,E000035,3569.91,1421.59,OUT,Outside Zone,Normal Area,,0,
7000,3600,1400,3748.28,1407.47,1.2,0.0,148.46804134223655,-1.2,scenario_000,9999.0,0.0,0,Normal,E000036,3674.14,1403.74,OUT,Outside Zone,Normal Area,,0,
8000,3600,1400,3769.4,1399.87,1.2,16.11,169.400049881929,14.91,scenario_000,11.36,29.0,1,Caution Approach,E000037,3684.7,1399.93,OUT,Outside Zone,Normal Area,,0,
