ts_ms,ped_x,ped_y,veh_x,veh_y,ped_speed_mps,veh_speed_mps,distance_m,rel_speed_mps,scenario,ttc,risk_score,risk_level,event_type,event_id,event_x,event_y,zone_id,zone_name,zone_type,zone_distance_m,zone_base_risk,zone_speed_limit_kmh,onnx_risk_level,onnx_confidence,prob_level_0,logit_level_0,prob_level_1,logit_level_1,prob_level_2,logit_level_2,prob_level_3,logit_level_3
3000,3600,1400,3647.11,1384.53,1.2,0.0,49.58500781486288,-1.2,scenario_000,9999.0,10.0,0,Normal,E000010,3623.56,1392.26,OUT,Outside Zone,Normal Area,,0,,0,0.9996513,0.9996513,7.89528,0.00014828924,-0.9207168,5.801737e-05,-1.8591399,0.0001423464,-0.9616186
4000,3600,1400,3820.3,1389.41,1.2,7.07,220.554388076955,5.87,scenario_000,37.57,11.0,0,Normal,E000011,3710.15,1394.7,OUT,Outside Zone,Normal Area,,0,,0,0.9994773,0.9994773,7.871599,0.00034275395,-0.10637572,3.551931e-05,-2.3733122,0.00014439407,-0.9708423
4000,3600,1400,3590.31,1392.39,1.2,6.23,12.321047033430215,5.03,scenario_000,2.45,61.0,2,Warning Approach,E000012,3595.15,1396.2,OUT,Outside Zone,Normal Area,,0,,2,0.5751909,0.00091926195,-4.357664,0.0012743666,-4.0310307,0.5751909,2.081222,0.42261553,1.772983
4000,3600,1400,3739.11,1259.82,1.2,3.98,197.48930224191903,2.78,scenario_000,71.04,3.0,0,Normal,E000013,3669.56,1329.91,OUT,Outside Zone,Normal Area,,0,,0,0.9995702,0.9995702,7.8526344,0.0002182939,-0.5766037,3.9326434e-05,-2.2905495,0.0001721306,-0.8141932
4000,3600,1400,3645.86,1382.7,1.2,2.22,49.01458558429328,1.0200000000000002,scenario_000,48.05,13.0,0,Normal,E000014,3622.93,1391.35,OUT,Outside Zone,Normal Area,,0,,0,0.99749184,0.99749184,7.5163164,0.002336961,1.4599239,3.1547963e-05,-2.8451743,0.00013974094,-1.3568931
4000,3600,1400,3579.33,1473.34,1.2,0.0,76.19714233486707,-1.2,scenario_000,9999.0,5.0,0,Normal,E000015,3589.66,1436.67,OUT,Outside Zone,Normal Area,,0,,0,0.9996326,0.9996326,7.8367414,0.00013131952,-1.100768,6.231437e-05,-1.8462092,0.00017370057,-0.8210691
5000,3600,1400,3810.88,1391.35,1.2,9.62,211.057330836908,8.42,scenario_000,25.07,11.0,0,Normal,E000016,3705.44,1395.67,OUT,Outside Zone,Normal Area,,0,,0,0.99930394,0.99930394,7.83332,0.0005317027,0.29459035,3.2759646e-05,-2.492297,0.0001316835,-1.1010927
5000,3600,1400,3590.42,1400.49,1.2,8.09,9.59252313002156,6.89,scenario_000,1.39,71.0,3,Near Miss,E000017,3595.21,1400.24,OUT,Outside Zone,Normal Area,,0,,3,0.97940445,0.0022082862,-1.7209234,0.0001615427,-4.3361263,0.01822569,0.38969213,0.97940445,4.3738046
5000,3600,1400,3742.42,1254.17,1.2,6.54,203.8377916383515,5.34,scenario_000,38.17,11.0,0,Normal,E000018,3671.21,1327.09,OUT,Outside Zone,Normal Area,,0,,0,0.9992987,0.9992987,7.844902,0.00053456984,0.3115555,3.0257597e-05,-2.5601602,0.0001364908,-1.0536503
5000,3600,1400,3644.32,1379.47,1.2,3.59,48.844071288130905,2.39,scenario_000,20.44,13.0,0,Normal,E000019,3622.16,1389.74,OUT,Outside Zone,Normal Area,,0,,0,0.9974362,0.9974362,7.55656,0.0024044102,1.5286764,3.1522144e-05,-2.8056934,0.00012797529,-1.4045465
