timestep_time,vehicle_angle,vehicle_id,vehicle_lane,vehicle_pos,vehicle_slope,vehicle_speed,vehicle_type,vehicle_x,vehicle_y,distance_to_ped,relative_speed,ttc,risk_level
68.0,91.41,68,278024801#5_0,5.1,0.0,0.0,DEFAULT_VEHTYPE,3650.38,1330.24,80.33804827104026,-0.0,999.0,0
69.0,91.41,68,278024801#5_0,7.3,0.0,2.2,DEFAULT_VEHTYPE,3652.57,1330.19,80.15510588852085,0.18294238251941408,438.1439925765408,0
70.0,86.96,68,278024801#5_0,12.0,0.0,4.7,DEFAULT_VEHTYPE,3657.24,1330.46,79.58787093521221,0.5672349533086418,140.30847441784348,0
71.0,79.16,68,278024801#5_0,18.5,0.0,6.5,DEFAULT_VEHTYPE,3663.63,1331.68,78.40407706235685,1.183793872855361,66.23119012539142,0
72.0,66.13,68,278024801#5_0,26.57,0.0,8.07,DEFAULT_VEHTYPE,3671.16,1334.46,76.35991880561419,2.044158256742662,37.35518938112583,0
73.0,61.84,68,:2825724222_1_0,5.69,0.0,6.53,DEFAULT_VEHTYPE,3676.96,1337.44,74.51573793501606,1.844180870598123,40.405872939593166,0
74.0,58.12,68,278024801#6_0,3.56,0.0,3.6,DEFAULT_VEHTYPE,3680.02,1339.35,73.43175675414562,1.0839811808704383,67.7426490884093,0
75.0,58.05,68,278024801#6_0,4.26,0.0,0.7,DEFAULT_VEHTYPE,3680.61,1339.72,73.23967845369067,0.192078300454952,381.30115833083147,0
76.0,58.05,68,278024801#6_0,4.27,0.0,0.01,DEFAULT_VEHTYPE,3680.62,1339.72,73.24249313069559,0.0,999.0,0
77.0,55.05,68,:10127668881_11_0,2.4,0.0,2.5,DEFAULT_VEHTYPE,3682.59,1341.26,72.3567253266758,0.8857678040197925,81.68814106620994,0
78.0,52.34,68,:10127668881_11_0,4.6,0.0,2.21,DEFAULT_VEHTYPE,3684.33,1342.62,71.63807158208554,0.7186537445902559,99.68371016132443,0
79.0,41.0,68,:10127668881_11_0,8.24,0.0,3.64,DEFAULT_VEHTYPE,3686.5,1345.51,69.72237876033778,1.9156928217477684,36.395385506913925,0
80.0,356.81,68,:10127668881_11_0,14.44,0.0,6.2,DEFAULT_VEHTYPE,3686.88,1351.37,64.49814958586036,5.224229174477415,12.345964817347848,0
81.0,324.09,68,-220064934#1_0,5.26,0.0,8.06,DEFAULT_VEHTYPE,3685.2,1360.04,55.955711057942914,8.542438527917447,6.550320599331758,0
82.0,324.09,68,-220064934#1_0,15.57,0.0,10.31,DEFAULT_VEHTYPE,3679.16,1368.39,45.8093625801537,10.14634847778921,4.514861940769366,1
83.0,324.09,68,-220064934#1_0,27.93,0.0,12.36,DEFAULT_VEHTYPE,3671.91,1378.4,33.76992893092893,12.039433649224776,2.8049433150124456,2
84.0,324.38,68,:2825724224_0_0,1.82,0.0,14.01,DEFAULT_VEHTYPE,3663.72,1389.75,20.588853780626025,13.181075150302902,1.5620010921607477,2
85.0,324.91,68,:2825724224_0_0,13.22,0.0,11.4,DEFAULT_VEHTYPE,3657.2,1399.03,11.321700402324804,9.26715337830122,1.2217020632068363,3
86.0,7.97,68,:13528976145_0_0,8.94,0.0,9.35,DEFAULT_VEHTYPE,3656.48,1407.34,4.412029011690688,6.9096713906341165,0.6385294990541924,3
87.0,26.06,68,:13316391021_5_0,6.09,0.0,6.71,DEFAULT_VEHTYPE,3658.83,1413.34,3.5389970330588896,0.8730319786317984,4.053685454460842,2
88.0,86.85,68,-220064933#4_0,4.18,0.0,6.65,DEFAULT_VEHTYPE,3665.17,1414.29,6.718109853225119,0.0,999.0,1
89.0,99.94,68,-220064933#4_0,12.46,0.0,8.28,DEFAULT_VEHTYPE,3673.24,1413.08,13.59352787174815,0.0,999.0,0
90.0,101.6,68,-220064933#4_0,22.36,0.0,9.9,DEFAULT_VEHTYPE,3682.8,1411.12,22.827492196910466,0.0,999.0,0
91.0,101.6,68,-220064933#4_0,34.28,0.0,11.92,DEFAULT_VEHTYPE,3694.32,1408.75,34.34275615031518,0.0,999.0,0
92.0,101.6,68,-220064933#4_0,48.73,0.0,14.45,DEFAULT_VEHTYPE,3708.27,1405.89,48.444659148351924,0.0,999.0,0
93.0,101.6,68,-220064933#4_0,65.17,0.0,16.44,DEFAULT_VEHTYPE,3724.16,1402.63,64.5819053605573,0.0,999.0,0
94.0,101.61,68,-220064933#3_0,0.18,0.0,18.94,DEFAULT_VEHTYPE,3742.58,1398.84,83.33067862438173,0.0,999.0,0
