rx_wall,node_id,distance_m,closing_mps,ttc_s,risk_level,reason,sent
1785473463.350,,0.00,0.00,inf,0,no_vehicle,"{""target_id"": 0, ""risk"": 0}"
1785473463.458,,0.00,0.00,inf,0,no_vehicle,
1785473463.560,,0.00,0.00,inf,0,no_vehicle,
1785473463.668,,0.00,0.00,inf,0,no_vehicle,
1785473463.784,,0.00,0.00,inf,0,no_vehicle,
1785473463.887,,0.00,0.00,inf,0,no_vehicle,
1785473463.992,,0.00,0.00,inf,0,no_vehicle,
1785473464.097,,0.00,0.00,inf,0,no_vehicle,
1785473464.201,,0.00,0.00,inf,0,no_vehicle,
1785473464.307,,0.00,0.00,inf,0,no_vehicle,
1785473464.412,,0.00,0.00,inf,0,no_vehicle,
1785473464.518,,0.00,0.00,inf,0,no_vehicle,
1785473464.644,,0.00,0.00,inf,0,no_vehicle,
1785473464.742,,0.00,0.00,inf,0,no_vehicle,
1785473464.844,,0.00,0.00,inf,0,no_vehicle,
1785473464.946,,0.00,0.00,inf,0,no_vehicle,
1785473465.049,,0.00,0.00,inf,0,no_vehicle,
1785473465.150,,0.00,0.00,inf,0,no_vehicle,
1785473465.239,,0.00,0.00,inf,0,no_vehicle,
1785473465.345,,0.00,0.00,inf,0,no_vehicle,
1785473465.456,,0.00,0.00,inf,0,no_vehicle,
1785473465.558,,0.00,0.00,inf,0,no_vehicle,
1785473465.660,,0.00,0.00,inf,0,no_vehicle,
1785473465.765,,0.00,0.00,inf,0,no_vehicle,
1785473465.867,,0.00,0.00,inf,0,no_vehicle,
1785473465.974,,0.00,0.00,inf,0,no_vehicle,
1785473466.077,,0.00,0.00,inf,0,no_vehicle,
1785473466.182,,0.00,0.00,inf,0,no_vehicle,
1785473466.287,,0.00,0.00,inf,0,no_vehicle,
1785473466.392,,0.00,0.00,inf,0,no_vehicle,
1785473466.498,,0.00,0.00,inf,0,no_vehicle,
1785473466.613,,0.00,0.00,inf,0,no_vehicle,
1785473466.709,,0.00,0.00,inf,0,no_vehicle,
1785473466.811,,0.00,0.00,inf,0,no_vehicle,
1785473466.916,,0.00,0.00,inf,0,no_vehicle,
1785473467.021,,0.00,0.00,inf,0,no_vehicle,
1785473467.126,,0.00,0.00,inf,0,no_vehicle,
1785473467.231,,0.00,0.00,inf,0,no_vehicle,
1785473467.339,,0.00,0.00,inf,0,no_vehicle,
1785473467.441,,0.00,0.00,inf,0,no_vehicle,
1785473467.549,,0.00,0.00,inf,0,no_vehicle,
1785473467.652,,0.00,0.00,inf,0,no_vehicle,
1785473467.757,,0.00,0.00,inf,0,no_vehicle,
1785473467.859,,0.00,0.00,inf,0,no_vehicle,
1785473467.966,,0.00,0.00,inf,0,no_vehicle,
