pc_time,type,node_id,seq,gps_valid,lat,lng,speed_mps,heading_deg,node_risk,tx_ms,rx_ms,recv_count,lost_count,rssi,src_mac,source_mode
1784521002.6961071,cane,4125577512,33736,0,37.0,127.0,0.0,0.0,0,3442939,6380923,39132,60141,-33,30:76:F5:E7:51:28,test
1784521002.7980332,cane,4125577512,33737,0,37.0,127.0,0.0,0.0,0,3443041,6381025,39133,60141,-35,30:76:F5:E7:51:28,test
1784521002.9023702,cane,4125577512,33738,0,37.0,127.0,0.0,0.0,0,3443143,6381129,39134,60141,-34,30:76:F5:E7:51:28,test
1784521003.0019188,cane,4125577512,33739,0,37.0,127.0,0.0,0.0,0,3443245,6381229,39135,60141,-34,30:76:F5:E7:51:28,test
1784521003.1043303,cane,4125577512,33740,0,37.0,127.0,0.0,0.0,0,3443347,6381331,39136,60141,-34,30:76:F5:E7:51:28,test
1784521003.2059174,cane,4125577512,33741,0,37.0,127.0,0.0,0.0,0,3443449,6381433,39137,60141,-33,30:76:F5:E7:51:28,test
1784521003.3081157,cane,4125577512,33742,0,37.0,127.0,0.0,0.0,0,3443551,6381535,39138,60141,-33,30:76:F5:E7:51:28,test
1784521003.4100492,cane,4125577512,33743,0,37.0,127.0,0.0,0.0,0,3443653,6381637,39139,60141,-34,30:76:F5:E7:51:28,test
1784521003.5124323,cane,4125577512,33744,0,37.0,127.0,0.0,0.0,0,3443755,6381739,39140,60141,-37,30:76:F5:E7:51:28,test
1784521003.6141465,cane,4125577512,33745,0,37.0,127.0,0.0,0.0,0,3443857,6381841,39141,60141,-34,30:76:F5:E7:51:28,test
1784521003.716095,cane,4125577512,33746,0,37.0,127.0,0.0,0.0,0,3443959,6381943,39142,60141,-37,30:76:F5:E7:51:28,test
1784521003.8180857,cane,4125577512,33747,0,37.0,127.0,0.0,0.0,0,3444061,6382045,39143,60141,-34,30:76:F5:E7:51:28,test
1784521003.9201071,cane,4125577512,33748,0,37.0,127.0,0.0,0.0,0,3444163,6382147,39144,60141,-33,30:76:F5:E7:51:28,test
1784521004.022254,cane,4125577512,33749,0,37.0,127.0,0.0,0.0,0,3444265,6382249,39145,60141,-33,30:76:F5:E7:51:28,test
1784521004.1240988,cane,4125577512,33750,0,37.0,127.0,0.0,0.0,0,3444367,6382351,39146,60141,-33,30:76:F5:E7:51:28,test
1784521004.225977,cane,4125577512,33751,0,37.0,127.0,0.0,0.0,0,3444469,6382453,39147,60141,-37,30:76:F5:E7:51:28,test
1784521004.328036,cane,4125577512,33752,0,37.0,127.0,0.0,0.0,0,3444571,6382555,39148,60141,-33,30:76:F5:E7:51:28,test
1784521004.4299927,cane,4125577512,33753,0,37.0,127.0,0.0,0.0,0,3444673,6382657,39149,60141,-33,30:76:F5:E7:51:28,test
1784521004.532262,cane,4125577512,33754,0,37.0,127.0,0.0,0.0,0,3444775,6382759,39150,60141,-34,30:76:F5:E7:51:28,test
1784521004.6341255,cane,4125577512,33755,0,37.0,127.0,0.0,0.0,0,3444877,6382861,39151,60141,-33,30:76:F5:E7:51:28,test
1784521004.739512,cane,4125577512,33756,0,37.0,127.0,0.0,0.0,0,3444979,6382966,39152,60141,-33,30:76:F5:E7:51:28,test
1784521004.837989,cane,4125577512,33757,0,37.0,127.0,0.0,0.0,0,3445081,6383065,39153,60141,-33,30:76:F5:E7:51:28,test
1784521004.9405296,cane,4125577512,33758,0,37.0,127.0,0.0,0.0,0,3445183,6383167,39154,60141,-33,30:76:F5:E7:51:28,test
1784521005.0445101,cane,4125577512,33759,0,37.0,127.0,0.0,0.0,0,3445285,6383271,39155,60141,-34,30:76:F5:E7:51:28,test
1784521005.1439917,cane,4125577512,33760,0,37.0,127.0,0.0,0.0,0,3445387,6383371,39156,60141,-33,30:76:F5:E7:51:28,test
1784521005.2459648,cane,4125577512,33761,0,37.0,127.0,0.0,0.0,0,3445489,6383473,39157,60141,-33,30:76:F5:E7:51:28,test
1784521005.348082,cane,4125577512,33762,0,37.0,127.0,0.0,0.0,0,3445591,6383575,39158,60141,-33,30:76:F5:E7:51:28,test
1784521005.4503703,cane,4125577512,33763,0,37.0,127.0,0.0,0.0,0,3445693,6383677,39159,60141,-33,30:76:F5:E7:51:28,test
1784521766.0494375,cane,4125577512,5620,0,37.0,127.0,0.0,0.0,0,575041,7144273,46590,90103,-35,30:76:F5:E7:51:28,test
1784521766.1520805,cane,4125577512,5621,0,37.0,127.0,0.0,0.0,0,575143,7144375,46591,90103,-37,30:76:F5:E7:51:28,test
1784521766.2532964,cane,4125577512,5622,0,37.0,127.0,0.0,0.0,0,575245,7144477,46592,90103,-36,30:76:F5:E7:51:28,test
1784521766.3553455,cane,4125577512,5623,0,37.0,127.0,0.0,0.0,0,575347,7144579,46593,90103,-36,30:76:F5:E7:51:28,test
1784521766.4572349,cane,4125577512,5624,0,37.0,127.0,0.0,0.0,0,575449,7144681,46594,90103,-36,30:76:F5:E7:51:28,test
1784521766.5591948,cane,4125577512,5625,0,37.0,127.0,0.0,0.0,0,575551,7144783,46595,90103,-36,30:76:F5:E7:51:28,test
1784521766.6612005,cane,4125577512,5626,0,37.0,127.0,0.0,0.0,0,575653,7144885,46596,90103,-36,30:76:F5:E7:51:28,test
1784521766.7631516,cane,4125577512,5627,0,37.0,127.0,0.0,0.0,0,575755,7144987,46597,90103,-37,30:76:F5:E7:51:28,test
1784521766.8654816,cane,4125577512,5628,0,37.0,127.0,0.0,0.0,0,575857,7145089,46598,90103,-36,30:76:F5:E7:51:28,test
1784521766.9673362,cane,4125577512,5629,0,37.0,127.0,0.0,0.0,0,575959,7145191,46599,90103,-39,30:76:F5:E7:51:28,test
1784521767.0694299,cane,4125577512,5630,0,37.0,127.0,0.0,0.0,0,576061,7145293,46600,90103,-36,30:76:F5:E7:51:28,test
1784521767.171366,cane,4125577512,5631,0,37.0,127.0,0.0,0.0,0,576163,7145395,46601,90103,-36,30:76:F5:E7:51:28,test
1784521889.776578,cane,4125577512,6833,0,37.0,127.0,0.0,0.0,0,698767,7267999,47801,90105,-37,30:76:F5:E7:51:28,test
1784521889.8774357,cane,4125577512,6834,0,37.0,127.0,0.0,0.0,0,698869,7268100,47802,90105,-38,30:76:F5:E7:51:28,test
1784521889.9794211,cane,4125577512,6835,0,37.0,127.0,0.0,0.0,0,698971,7268202,47803,90105,-42,30:76:F5:E7:51:28,test
1784521890.081426,cane,4125577512,6836,0,37.0,127.0,0.0,0.0,0,699073,7268304,47804,90105,-42,30:76:F5:E7:51:28,test
1784521890.183549,cane,4125577512,6837,0,37.0,127.0,0.0,0.0,0,699175,7268406,47805,90105,-42,30:76:F5:E7:51:28,test
1784521890.2853992,cane,4125577512,6838,0,37.0,127.0,0.0,0.0,0,699277,7268508,47806,90105,-38,30:76:F5:E7:51:28,test
1784521890.390053,cane,4125577512,6839,0,37.0,127.0,0.0,0.0,0,699379,7268613,47807,90105,-39,30:76:F5:E7:51:28,test
1784521890.489581,cane,4125577512,6840,0,37.0,127.0,0.0,0.0,0,699481,7268712,47808,90105,-38,30:76:F5:E7:51:28,test
1784521890.5916245,cane,4125577512,6841,0,37.0,127.0,0.0,0.0,0,699583,7268814,47809,90105,-40,30:76:F5:E7:51:28,test
1784521890.6952307,cane,4125577512,6842,0,37.0,127.0,0.0,0.0,0,699685,7268918,47810,90105,-41,30:76:F5:E7:51:28,test
1784521890.7961547,cane,4125577512,6843,0,37.0,127.0,0.0,0.0,0,699787,7269019,47811,90105,-41,30:76:F5:E7:51:28,test
1784521890.8973758,cane,4125577512,6844,0,37.0,127.0,0.0,0.0,0,699889,7269120,47812,90105,-41,30:76:F5:E7:51:28,test
1784521890.9993773,cane,4125577512,6845,0,37.0,127.0,0.0,0.0,0,699991,7269222,47813,90105,-42,30:76:F5:E7:51:28,test
1784521891.1014051,cane,4125577512,6846,0,37.0,127.0,0.0,0.0,0,700093,7269324,47814,90105,-41,30:76:F5:E7:51:28,test
1784521891.2035599,cane,4125577512,6847,0,37.0,127.0,0.0,0.0,0,700195,7269426,47815,90105,-38,30:76:F5:E7:51:28,test
1784521891.3054295,cane,4125577512,6848,0,37.0,127.0,0.0,0.0,0,700297,7269528,47816,90105,-41,30:76:F5:E7:51:28,test
1784521891.407639,cane,4125577512,6849,0,37.0,127.0,0.0,0.0,0,700399,7269631,47817,90105,-42,30:76:F5:E7:51:28,test
1784521891.5102937,cane,4125577512,6850,0,37.0,127.0,0.0,0.0,0,700501,7269733,47818,90105,-39,30:76:F5:E7:51:28,test
1784521891.6125374,cane,4125577512,6851,0,37.0,127.0,0.0,0.0,0,700603,7269835,47819,90105,-39,30:76:F5:E7:51:28,test
1784521891.7148373,cane,4125577512,6852,0,37.0,127.0,0.0,0.0,0,700705,7269938,47820,90105,-38,30:76:F5:E7:51:28,test
1784521891.8172593,cane,4125577512,6853,0,37.0,127.0,0.0,0.0,0,700807,7270040,47821,90105,-40,30:76:F5:E7:51:28,test
1784521891.9196017,cane,4125577512,6854,0,37.0,127.0,0.0,0.0,0,700909,7270143,47822,90105,-39,30:76:F5:E7:51:28,test
1784521892.0193624,cane,4125577512,6855,0,37.0,127.0,0.0,0.0,0,701011,7270242,47823,90105,-44,30:76:F5:E7:51:28,test
1784521892.1213949,cane,4125577512,6856,0,37.0,127.0,0.0,0.0,0,701113,7270344,47824,90105,-45,30:76:F5:E7:51:28,test
1784521892.2235005,cane,4125577512,6857,0,37.0,127.0,0.0,0.0,0,701215,7270446,47825,90105,-43,30:76:F5:E7:51:28,test
1784521892.32548,cane,4125577512,6858,0,37.0,127.0,0.0,0.0,0,701317,7270548,47826,90105,-41,30:76:F5:E7:51:28,test
1784521892.4273875,cane,4125577512,6859,0,37.0,127.0,0.0,0.0,0,701419,7270650,47827,90105,-44,30:76:F5:E7:51:28,test
1784521892.5302794,cane,4125577512,6860,0,37.0,127.0,0.0,0.0,0,701521,7270753,47828,90105,-44,30:76:F5:E7:51:28,test
1784521892.631385,cane,4125577512,6861,0,37.0,127.0,0.0,0.0,0,701623,7270854,47829,90105,-44,30:76:F5:E7:51:28,test
1784521892.7333555,cane,4125577512,6862,0,37.0,127.0,0.0,0.0,0,701725,7270956,47830,90105,-43,30:76:F5:E7:51:28,test
1784521892.8419776,cane,4125577512,6863,0,37.0,127.0,0.0,0.0,0,701827,7271065,47831,90105,-43,30:76:F5:E7:51:28,test
1784521892.937389,cane,4125577512,6864,0,37.0,127.0,0.0,0.0,0,701929,7271160,47832,90105,-43,30:76:F5:E7:51:28,test
1784521893.0393384,cane,4125577512,6865,0,37.0,127.0,0.0,0.0,0,702031,7271262,47833,90105,-43,30:76:F5:E7:51:28,test
1784521893.1413922,cane,4125577512,6866,0,37.0,127.0,0.0,0.0,0,702133,7271364,47834,90105,-43,30:76:F5:E7:51:28,test
1784521893.243423,cane,4125577512,6867,0,37.0,127.0,0.0,0.0,0,702235,7271466,47835,90105,-43,30:76:F5:E7:51:28,test
