pc_time,cane_seq,vehicle_seq,distance_raw,closing_los_raw,closing_diff_raw,ttc_simple_raw,tcpa_raw,dcpa_raw,distance_kf,closing_los_kf,ttc_simple_kf,tcpa_kf,dcpa_kf
1784711582.594,10353,1,50.0,5.0,,10.0,10.0,0.0,50.0,-0.0,,,
1784711582.695,10354,1,50.0,5.0,,10.0,10.0,0.0,50.0,-0.0,,,
1784711582.797,10355,1,50.0,5.0,,10.0,10.0,0.0,50.0,-0.0,,,
1784711582.798,10355,2,48.978,5.0,5.018,9.796,9.796,0.0,49.361,1.254,39.352,39.352,0.0
1784711582.903,10356,2,48.978,5.0,,9.796,9.796,0.0,49.23,1.254,39.247,39.247,0.0
1784711583.001,10357,2,48.978,5.0,,9.796,9.796,0.0,49.107,1.254,39.149,39.149,0.0
1784711583.002,10357,3,47.959,5.0,4.996,9.592,9.592,0.0,48.395,2.864,16.895,16.895,0.0
1784711583.103,10358,3,47.959,5.0,,9.592,9.592,0.0,48.107,2.864,16.794,16.794,0.0
1784711583.205,10359,3,47.959,5.0,,9.592,9.592,0.0,47.814,2.864,16.692,16.692,0.0
1784711583.206,10359,4,46.94,5.0,4.993,9.388,9.388,0.0,47.292,3.857,12.263,12.263,0.0
1784711583.307,10360,4,46.94,5.0,,9.388,9.388,0.0,46.901,3.857,12.161,12.161,0.0
1784711583.409,10361,4,46.94,5.0,,9.388,9.388,0.0,46.508,3.857,12.06,12.06,0.0
1784711583.409,10361,5,45.921,5.0,4.998,9.184,9.184,0.0,46.185,4.361,10.59,10.59,0.0
1784711583.512,10362,5,45.921,5.0,,9.184,9.184,0.0,45.739,4.361,10.488,10.488,0.0
1784711583.613,10363,5,45.921,5.0,,9.184,9.184,0.0,45.298,4.361,10.387,10.387,0.0
1784711583.613,10363,6,44.901,5.0,5.0,8.98,8.98,0.0,45.099,4.621,9.759,9.759,0.0
1784711583.716,10364,6,44.901,5.0,,8.98,8.98,0.0,44.625,4.621,9.657,9.657,0.0
1784711583.817,10365,6,44.901,5.0,,8.98,8.98,0.0,44.159,4.621,9.556,9.556,0.0
1784711583.817,10365,7,43.881,5.0,5.0,8.776,8.776,0.0,44.031,4.764,9.243,9.243,0.0
1784711583.919,10366,7,43.881,5.0,,8.776,8.776,0.0,43.549,4.764,9.142,9.142,0.0
1784711584.021,10367,7,43.881,5.0,,8.776,8.776,0.0,43.063,4.764,9.04,9.04,0.0
1784711584.021,10367,8,42.861,5.0,5.0,8.572,8.572,0.0,42.978,4.848,8.866,8.866,0.0
1784711584.124,10368,8,42.861,5.0,,8.572,8.572,0.0,42.481,4.848,8.763,8.763,0.0
1784711584.225,10369,8,42.861,5.0,,8.572,8.572,0.0,41.992,4.848,8.662,8.662,0.0
1784711584.225,10369,9,41.841,5.0,5.001,8.368,8.368,0.0,41.932,4.9,8.558,8.558,0.0
1784711584.327,10370,9,41.841,5.0,,8.368,8.368,0.0,41.436,4.9,8.457,8.457,0.0
1784711584.429,10371,9,41.841,5.0,,8.368,8.368,0.0,40.936,4.9,8.355,8.355,0.0
1784711584.429,10371,10,40.821,5.0,4.999,8.164,8.164,0.0,40.894,4.934,8.288,8.288,0.0
1784711584.531,10372,10,40.821,5.0,,8.164,8.164,0.0,40.392,4.934,8.186,8.186,0.0
1784711584.633,10373,10,40.821,5.0,,8.164,8.164,0.0,39.886,4.934,8.084,8.084,0.0
1784711584.634,10373,11,39.797,5.0,5.0,7.959,7.959,0.0,39.855,4.958,8.039,8.039,0.0
1784711584.737,10374,11,39.797,5.0,,7.959,7.959,0.0,39.346,4.958,7.936,7.936,0.0
1784711584.838,10375,11,39.797,5.0,,7.959,7.959,0.0,38.842,4.958,7.835,7.835,0.0
1784711584.839,10375,12,38.773,5.0,5.0,7.755,7.755,0.0,38.818,4.974,7.804,7.804,0.0
1784711584.941,10376,12,38.773,5.0,,7.755,7.755,0.0,38.312,4.974,7.702,7.702,0.0
1784711585.042,10377,12,38.773,5.0,,7.755,7.755,0.0,37.81,4.974,7.601,7.601,0.0
1784711585.042,10377,13,37.756,5.0,5.001,7.551,7.551,0.0,37.791,4.986,7.58,7.58,0.0
1784711585.145,10378,13,37.756,5.0,,7.551,7.551,0.0,37.277,4.986,7.477,7.477,0.0
1784711585.248,10379,13,37.756,5.0,,7.551,7.551,0.0,36.766,4.986,7.374,7.374,0.0
1784711585.249,10379,14,36.724,5.0,5.003,7.345,7.345,0.0,36.751,4.994,7.359,7.359,0.0
1784711585.348,10380,14,36.724,5.0,,7.345,7.345,0.0,36.256,4.994,7.259,7.259,0.0
1784711585.449,10381,14,36.724,5.0,,7.345,7.345,0.0,35.753,4.994,7.159,7.159,0.0
1784711585.449,10381,15,35.721,5.0,4.999,7.144,7.144,0.0,35.741,5.0,7.148,7.148,0.0
1784711585.555,10382,15,35.721,5.0,,7.144,7.144,0.0,35.212,5.0,7.042,7.042,0.0
1784711585.653,10383,15,35.721,5.0,,7.144,7.144,0.0,34.724,5.0,6.944,6.944,0.0
1784711585.654,10383,16,34.7,5.0,5.001,6.94,6.94,0.0,34.715,5.005,6.937,6.937,0.0
1784711585.755,10384,16,34.7,5.0,,6.94,6.94,0.0,34.208,5.005,6.835,6.835,0.0
1784711585.857,10385,16,34.7,5.0,,6.94,6.94,0.0,33.698,5.005,6.734,6.734,0.0
1784711585.857,10385,17,33.681,5.0,4.997,6.736,6.736,0.0,33.691,5.007,6.728,6.728,0.0
