pc_time,cane_seq,vehicle_seq,distance_m,closing_los,ttc,vehicle_speed,dcpa,base_score,gate,final_score,risk_level
1784714380.041,37780,1,50.0,-0.0,9999.0,5.0,,13.0,1.0,13.0,0
1784714380.141,37781,1,50.0,-0.0,9999.0,5.0,,13.0,1.0,13.0,0
1784714380.243,37782,1,50.0,-0.0,9999.0,5.0,,13.0,1.0,13.0,0
1784714380.245,37782,2,49.361,1.254,39.364,5.0,0.0,16.0,1.0,16.0,0
1784714380.345,37783,2,49.235,1.254,39.264,5.0,0.0,16.0,1.0,16.0,0
1784714380.447,37784,2,49.107,1.254,39.162,5.0,0.0,16.0,1.0,16.0,0
1784714380.449,37784,3,48.395,2.865,16.893,5.0,0.0,16.0,1.0,16.0,0
1784714380.549,37785,3,48.107,2.865,16.793,5.0,0.0,16.0,1.0,16.0,0
1784714380.651,37786,3,47.815,2.865,16.691,5.0,0.0,16.0,1.0,16.0,0
1784714380.652,37786,4,47.292,3.857,12.261,5.0,0.0,16.0,1.0,16.0,0
1784714380.753,37787,4,46.901,3.857,12.16,5.0,0.0,16.0,1.0,16.0,0
1784714380.855,37788,4,46.509,3.857,12.058,5.0,0.0,16.0,1.0,16.0,0
1784714380.857,37788,5,46.18,4.362,10.587,5.0,0.0,24.0,1.0,24.0,1
1784714380.958,37789,5,45.738,4.362,10.485,5.0,0.0,24.0,1.0,24.0,1
1784714381.059,37790,5,45.297,4.362,10.384,5.0,0.0,24.0,1.0,24.0,1
1784714381.062,37790,6,45.09,4.622,9.756,5.0,0.0,24.0,1.0,24.0,1
1784714381.161,37791,6,44.631,4.622,9.657,5.0,0.0,24.0,1.0,24.0,1
1784714381.263,37792,6,44.159,4.622,9.555,5.0,0.0,24.0,1.0,24.0,1
1784714381.265,37792,7,44.027,4.764,9.242,5.0,0.0,24.0,1.0,24.0,1
1784714381.365,37793,7,43.55,4.764,9.142,5.0,0.0,24.0,1.0,24.0,1
1784714381.467,37794,7,43.064,4.764,9.04,5.0,0.0,24.0,1.0,24.0,1
1784714381.469,37794,8,42.975,4.847,8.866,5.0,0.0,24.0,1.0,24.0,1
1784714381.569,37795,8,42.488,4.847,8.765,5.0,0.0,24.0,1.0,24.0,1
1784714381.671,37796,8,41.994,4.847,8.663,5.0,0.0,24.0,1.0,24.0,1
1784714381.672,37796,9,41.931,4.9,8.558,5.0,0.0,24.0,1.0,24.0,1
1784714381.773,37797,9,41.436,4.9,8.457,5.0,0.0,24.0,1.0,24.0,1
1784714381.875,37798,9,40.939,4.9,8.356,5.0,0.0,24.0,1.0,24.0,1
1784714381.876,37798,10,40.893,4.934,8.288,5.0,0.0,24.0,1.0,24.0,1
1784714381.979,37799,10,40.386,4.934,8.185,5.0,0.0,24.0,1.0,24.0,1
1784714382.08,37800,10,39.885,4.934,8.084,5.0,0.0,32.0,1.0,32.0,1
1784714382.083,37800,11,39.845,4.957,8.038,5.0,0.0,32.0,1.0,32.0,1
1784714382.181,37801,11,39.357,4.957,7.939,5.0,0.0,39.0,1.0,39.0,1
1784714382.283,37802,11,38.852,4.957,7.837,5.0,0.0,39.0,1.0,39.0,1
1784714382.285,37802,12,38.823,4.974,7.806,5.0,0.0,39.0,1.0,39.0,1
1784714382.385,37803,12,38.324,4.974,7.705,5.0,0.0,39.0,1.0,39.0,1
1784714382.487,37804,12,37.817,4.974,7.603,5.0,0.0,39.0,1.0,39.0,1
1784714382.489,37804,13,37.794,4.986,7.581,5.0,0.0,39.0,1.0,39.0,1
1784714382.589,37805,13,37.293,4.986,7.48,5.0,0.0,39.0,1.0,39.0,1
1784714382.691,37806,13,36.785,4.986,7.378,5.0,0.0,39.0,1.0,39.0,1
1784714382.692,37806,14,36.767,4.994,7.362,5.0,0.0,39.0,1.0,39.0,1
1784714382.793,37807,14,36.264,4.994,7.261,5.0,0.0,39.0,1.0,39.0,1
1784714382.895,37808,14,35.755,4.994,7.159,5.0,0.0,39.0,1.0,39.0,1
1784714382.896,37808,15,35.74,5.0,7.148,5.0,0.0,44.0,1.0,44.0,1
1784714382.997,37809,15,35.236,5.0,7.047,5.0,0.0,44.0,1.0,44.0,1
1784714383.099,37810,15,34.725,5.0,6.945,5.0,0.0,44.0,1.0,44.0,1
1784714383.101,37810,16,34.709,5.005,6.936,5.0,0.0,44.0,1.0,44.0,1
1784714383.201,37811,16,34.21,5.005,6.836,5.0,0.0,44.0,1.0,44.0,1
1784714383.303,37812,16,33.7,5.005,6.734,5.0,0.0,44.0,1.0,44.0,1
1784714383.305,37812,17,33.689,5.007,6.728,5.0,0.0,44.0,1.0,44.0,1
1784714383.405,37813,17,33.185,5.007,6.627,5.0,0.0,44.0,1.0,44.0,1
1784714383.507,37814,17,32.675,5.007,6.525,5.0,0.0,44.0,1.0,44.0,1
